contig	input_name	organism	virus_seq_length	end_feature	gene_count	virion_hallmark_count	rep_hallmark_count	RDRP_hallmark_count	virion_hallmark_genes	rep_hallmark_genes	RDRP_hallmark_genes	taxonomy_hierarchy	ORF_caller	gcode	avg_read_depth
ct3_caudo_2a_24	OL743187.1 |Acinetobacter phage vB_AbM_WUPSU, complete genome	Obolenskvirus sp. ct6HD0O	44241	None	85	13	1	0	Baseplate wedge protein|tail tape measure protein |tail sheath|tail completion protein|head closure knob|Virion morphogenesis family|head to tail adaptor|Major Capsid Protein|Minor capsid component|Portal protein|Large Terminase|Terminase small subunit|tailspike	DNAB Like Replicative Helicase		d_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes;g_Obolenskvirus	prodigal-gv	11	NaN
ct3_caudo_2a_25	KF306380.1 |Mycobacterium phage DrDrey, complete genome	Kostyavirus sp. ctBGGV8	77367	None	142	16	3	0	Small Terminase|Large Terminase|Portal protein|Major Capsid Protein|head to tail adaptor|Minor capsid protein|type I neck protein|tail completion protein|major tail protein|Tail assembly chaperone|tail tape measure protein |tail protein|Minor tail protein |Putative structural protein |Putative structural protein |Putative structural protein 	phage replisome organiser|Helicase ATPase|DNA polymerase B		d_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes;g_Kostyavirus	prodigal-gv	11	NaN
ct3_caudo_2a_26	ON170191.1 |UNVERIFIED_ORG: Ralstonia phage YO108_2 sequence	Caudoviricetes sp. ct7W4SS	25469	None	41	9	0	0	tail component|tail completion protein|head to tail adaptor|Major Capsid Protein|Virion morphogenesis family|minor capsid component|Portal Protein|Portal protein|Large Terminase			d_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes	prodigal-gv	11	NaN
ct3_caudo_2a_27	MT747435.1 |Enterococcus phage AE4_2, complete genome	Caudoviricetes sp. ctK4NMH	37561	None	54	15	3	0	Small Terminase|Terminase large subunit|Portal Protein|minor capsid protein|minor structural protein|Major Capsid protein|head to tail adaptor|Head tail adaptor|tail component|tail completion protein|major tail protein|Minor tail protein|tail protein|Receptor Binding Protein|Distal Tail protein	DNA Polymerase I|replicative DNA helicase|Helicase of the snf2 family		d_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes	prodigal-gv	11	NaN
ct3_caudo_2a_28	NC_009935.1 |Pseudomonas phage LKD16, complete genome	Phikmvvirus sp. ct175JQ	42772	DTR	55	12	2	0	virion protein|tail fibre protein|Tail fiber protein |DNA packaging protein|Large Terminase|virion assembly protein|Head Tail Connector Protein|capsid assembly protein|capsid protein|Tail tube protein|Phage stabilisation protein|putative internal virion protein 	DNAB Like Replicative Helicase|DNA polymerase B		d_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes;f_Autographiviridae;-_Krylovirinae;g_Phikmvvirus	prodigal-gv	11	NaN
ct3_caudo_2a_29	MN694036.1 |MAG: Marine virus AFVG_250M883, complete genome	Caudoviricetes sp. ctTX2WV	35684	None	52	9	1	0	Terminase small subunit|Large Terminase|Portal Protein|Major Capsid Protein|Major Capsid Protein|Tail tube protein|Phage stabilisation protein|Phage stabilisation protein|tail fibre protein	replicative DNA helicase		d_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes	prodigal-gv	11	NaN
ct3_caudo_2a_3	MH460460.1 |Dickeya phage vB_DsoM_JA13, complete genome	Salmondvirus sp. ctMVKI8	254061	None	318	9	2	0	Terminase|Portal protein|Baseplate wedge protein|Baseplate wedge protein|head closure knob|Baseplate wedge protein|Baseplate wedge protein|Major Capsid Protein|tail sheath	DNAB Like Replicative Helicase|DNA helicase		d_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes;g_Salmondvirus	prodigal-gv	11	NaN
ct3_caudo_2a_30	MF695815.1 |Klebsiella phage KPP5665-2, complete genome	Caudoviricetes sp. ctO2U2E	39241	None	53	14	2	0	Small Terminase|Large Terminase|Portal Protein|prohead serine protease|Major Capsid Protein|Head Tail Connector Protein|Head tail adaptor|tail component|tail component|tail tube protein|Tail assembly chaperone|tail tape measure protein |phage tail protein|tail spike protein	DNA helicase|primase helicase		d_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes	prodigal-gv	11	NaN
ct3_caudo_2a_31	AP012539.1 |Stx2-converting phage Stx2a_WGPS6 proviral DNA, complete genome	Caudoviricetes sp. ctAPX26	57849	None	81	15	2	0	Small Terminase|Large Terminase|Major Capsid Protein|Portal Protein|Head Tail Connector protein|Head Tail Connector protein|tail component|tail component|Tail tube protein|Tail length tape measure protein|minor tail protein|minor tail protein |tail assembly protein I|tail protein|tail fibre	Replication protein O|DNAB Like Replicative Helicase		d_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes	prodigal-gv	11	NaN
ct3_caudo_2a_32	MZ375353.1 |Mutant Salmonella phage seszw clone seszw_300L, complete genome	Skatevirus sp. ct6OQQL	37788	None	56	13	1	0	Capsid Stabilizing Protein|Major Capsid Protein|head to tail adaptor|Minor capsid protein|Minor capsid protein|tail completion protein|major tail protein|tail length tape measure protein|phage tail protein|tail spike protein|Large Terminase|Portal protein|minor capsid protein	primase helicase		d_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes;g_Skatevirus	prodigal-gv	11	NaN
ct3_caudo_2a_33	NC_020854.1 |Cyanophage KBS-S-2A genomic sequence	Caudoviricetes sp. ctJDZ6B	40658	None	51	19	1	0	tail protein|tail collar fibre protein|Structural protein |Large Terminase|Portal Protein|minor capsid protein|minor structural protein |Major Capsid Protein|Head Tail Connector Protein|Head Tail Connector Protein|putative tail component|tail completion protein|major tail protein|tail assembly chaperone|minor tail protein|minor tail protein|minor tail protein |tail assembly protein I|tail protein	DNA polymerase II, small subunit		d_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes	prodigal-gv	11	NaN
ct3_caudo_2a_34	NC_028748.2 |Bacillus phage vB_BtS_BMBtp3, complete genome	Waukeshavirus sp. ctAI530	51346	DTR	76	13	1	0	Terminase small subunit|Large Terminase|Portal Protein|minor capsid protein|capsid scaffolding protein|Major Capsid Protein|Head Tail Connector Protein|Head tail adaptor|putative tail component|tail completion protein|major tail protein|minor tail protein|Distal Tail protein	DNA polymerase B		d_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes;g_Waukeshavirus	prodigal-gv	11	NaN
ct3_caudo_2a_35	KU530220.1 |Streptomyces phage Xkcd426, complete genome	Caudoviricetes sp. ctDYYUO	64477	None	76	10	2	0	Large Terminase|Minor tail protein |Portal protein|minor head component F|Major Capsid protein|major tail protein|head to tail adaptor|tail completion protein|Minor capsid protein|Tail protein	dsDNA helicase|DNA helicase		d_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes	prodigal-gv	11	NaN
ct3_caudo_2a_36	NC_073455.1 |Microbacterium phage AnnaLie, complete genome	Dismasvirus sp. ctBJGRI	41665	None	71	12	1	0	Large Terminase|Portal protein|prohead serine protease|Major Capsid Protein|head to tail adaptor|head closure knob|type I neck protein|tail completion protein|tail protein |tail tape measure protein |tail protein|Receptor Binding Protein	DNA helicase		d_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes;g_Dismasvirus	prodigal-gv	11	NaN
ct3_caudo_2a_37	OR159667.1 |Mycobacterium phage ShroomBoi, complete genome	Cheoctovirus sp. ctZ00D6	58221	None	102	14	2	0	Terminase|Portal Protein|Major Capsid Protein|head to tail adaptor|Minor capsid protein|type I neck protein|tail completion protein|major tail protein|tail tape measure protein |tail protein|Minor tail protein |Minor tail protein |Putative structural protein |Putative structural protein 	DNA polymerase B|phage replisome organiser		d_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes;-_Gracegardnervirinae;g_Cheoctovirus	prodigal-gv	11	NaN
ct3_caudo_2a_38	MK504442.1 |Lactobacillus phage 3-SAC12, complete genome	Caudoviricetes sp. ctSUOKF	41292	None	62	14	0	0	Terminase small subunit|Large Terminase|Portal Protein|minor capsid protein|capsid scaffolding protein|Major Capsid Protein|Virion morphogenesis family|head closure knob|tail completion protein|tail sheath|minor tail protein|major tail protein|Baseplate wedge protein|Tail collar fibre protein			d_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes	prodigal-gv	11	NaN
ct3_caudo_2a_39	NC_009514.1 |Phage cdtI DNA, complete genome	Caudoviricetes sp. ctNT93N	47021	None	55	15	0	0	Large Terminase|head to tail adaptor|Major Capsid protein|Major Capsid Protein|head closure knob|minor tail protein|Minor tail protein |tail tube protein|tail assembly chaperone|Minor tail protein |minor tail protein|minor tail protein |tail assembly protein I|tail protein|tail fibre			d_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes	prodigal-gv	11	NaN
ct3_caudo_2a_4	NC_042037.1 |Aeromonas phage pIS4-A genomic sequence	Caudoviricetes sp. ctGQ7MW	47143	DTR	79	13	2	0	tail length tape measure protein|tail protein|tail spike protein|Large Terminase|Portal protein|minor capsid protein|Capsid Stabilizing Protein|Major Capsid Protein|head to tail adaptor|Minor capsid protein|Minor capsid protein|tail completion protein|major tail protein	primase helicase|DNA polymerase III, beta subunit		d_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes	prodigal-gv	11	NaN
ct3_caudo_2a_40	MK878896.1 |Gordonia phage Begonia, complete genome	Jujuvirus sp. ct6WAZ6	50867	None	75	12	1	0	Small Terminase|Terminase|Portal protein|Major Capsid Protein|head to tail adaptor|Minor capsid protein|tail completion protein|major tail protein|tail tape measure protein |tail protein|Minor tail protein |tail protein	phage replisome organiser		d_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes;g_Jujuvirus	prodigal-gv	11	NaN
ct3_caudo_2a_41	NC_041859.1 |Flavobacterium phage 23T, complete genome	Unahavirus sp. ctVERWQ	43226	None	64	4	0	0	tail tape measure protein |Portal protein|Large Terminase|Major Capsid protein			d_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes;f_Duneviridae;g_Unahavirus	prodigal-gv	11	NaN
ct3_caudo_2a_42	KT997863.1 |Uncultured Mediterranean phage uvDeep-CGR2-KM21-C338, complete genome	Caudoviricetes sp. ctGU35Z	34099	DTR	48	6	1	0	Large Terminase|Portal Protein|Major Capsid Protein|head to tail adaptor|major tail protein|major tail protein	Replicative helicase		d_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes	prodigal-gv	11	NaN
ct3_caudo_2a_43	OR525700.1 |Escherichia phage vB-Eco-KMB37, complete genome	Justusliebigvirus sp. ct6MCAP	148585	DTR	253	13	2	0	Tailspike protein|tail fibre assembly protein|Baseplate wedge protein|Tail protein|tail tape measure protein |tail sheath|Minor capsid protein|Virion morphogenesis family|Major Capsid protein|Head decoration protein|Putative phage serine protease XkdF|Portal protein|Large Terminase	DNA polymerase B|DNA polymerase		d_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes;-_Stephanstirmvirinae;g_Justusliebigvirus	prodigal-gv	11	NaN
ct3_caudo_2a_44	MH450115.1 |Arthrobacter phage Breylor17, complete genome	Gordonvirus sp. ctT6WU9	57822	None	83	16	1	0	Structural protein |Large Terminase|Structural protein |Structural protein |Structural protein |Structural protein |Portal protein|Major Capsid protein|tail completion protein|Tail tube protein|tail tube protein|Baseplate wedge protein|tail collar fibre protein|type I neck protein|tail tape measure protein |tail protein	DNA helicase		d_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes;g_Gordonvirus	prodigal-gv	11	NaN
ct3_caudo_2a_45	MN582086.1 |MAG: Siphoviridae sp. ctdEk19, complete genome	Caudoviricetes sp. ctIRQHN	38047	None	51	8	0	0	Large Terminase|Portal Protein|Major Capsid Protein|Major virion structural protein |head to tail adaptor|Stabilisation protein|Neck appendage protein|Putative structural protein 			d_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes	prodigal-gv	11	NaN
ct3_caudo_2a_46	MT889380.1 |Mycobacterium phage Coco12, complete genome	Cheoctovirus sp. ct6FLSH	57693	None	100	15	3	0	Large Terminase|Portal Protein|minor capsid protein|Major Capsid protein|Major Capsid protein|Minor capsid protein|type I neck protein|tail completion protein|major tail protein|tail tape measure protein |tail protein|Minor tail protein |Minor tail protein |Putative structural protein |Minor tail protein 	DNA polymerase B|Helicase of the snf2 family|phage replisome organiser		d_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes;-_Gracegardnervirinae;g_Cheoctovirus	prodigal-gv	11	NaN
ct3_caudo_2a_47	MT863727.1 |Campylobacter phage F370, complete genome	Fletchervirus sp. ctQ7BP3	132742	None	168	23	2	0	phage neck protein|Large Terminase|Baseplate wedge protein|Baseplate wedge protein|Major Capsid Protein|Virus neck protein|Tail connector protein|Terminase DNA packaging enzyme small|Major Capsid Protein|Baseplate wedge protein|baseplate protein|Baseplate wedge protein|Baseplate wedge protein|Baseplate|Baseplate wedge protein|Baseplate wedge protein|Baseplate wedge protein|Baseplate wedge protein|DNA packaging protein|tail sheath|Major Capsid Protein|Prohead core protein protease|capsid assembly protein	DNA helicase|DNAB Like Replicative Helicase		d_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes;-_Eucampyvirinae;g_Fletchervirus	prodigal-gv	11	NaN
ct3_caudo_2a_48	KU160673.1 |Arthrobacter phage Wilde, complete genome	Tankvirus sp. ctC7Y6Y	67614	DTR	106	10	1	0	Tail protein|tail tape measure protein |type I neck protein|tail completion protein|head to tail adaptor|major tail protein|Major Capsid protein|minor head component F|Portal protein|Large Terminase	DNA polymerase B		d_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes;g_Tankvirus	prodigal-gv	11	NaN
ct3_caudo_2a_49	MK016503.1 |Mycobacterium phage Prithvi, complete genome	Anayavirus sp. ctUPZ9J	60311	None	92	15	3	0	Large Terminase|Portal Protein|Minor capsid protein|Major Capsid protein|Minor capsid protein|type I neck protein|Head Tail Connector Protein|tail protein |tail tape measure protein |tail protein|Minor tail protein |Minor tail protein |Minor tail protein |Minor tail protein |terminase	DNA polymerase II, small subunit|DNA annealing helicase and endonuclease|dsDNA helicase		d_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes;-_Weiservirinae;g_Anayavirus	prodigal-gv	11	NaN
ct3_caudo_2a_5	MZ005683.1 |Gordonia phage Runhaar, complete genome	Kenoshavirus sp. ctVSYCE	60229	None	88	11	1	0	Hyaluronidase phage tail|Large Terminase|Structural protein |Portal protein|Major Capsid protein|tail completion protein|Tail tube protein|tail tube protein|type I neck protein|tail tape measure protein |tail protein	DNA helicase		d_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes;-_Deejayvirinae;g_Kenoshavirus	prodigal-gv	11	NaN
ct3_caudo_2a_50	MW722083.1 |Escherichia phage vB_EcoP_ZX5, complete genome	Caudoviricetes sp. ct527D9	39565	None	52	10	2	0	Tailspike protein|Terminase small subunit|Large Terminase|Head Tail Connector protein|Major Capsid protein|Major Capsid protein|Tail tube protein|Phage stabilisation protein|internal virion protein |virion protein	Primosomal protein 1|Replication protein P		d_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes	prodigal-gv	11	NaN
ct3_caudo_2a_51	MN119376.1 |Streptomyces phage Geostin, complete genome	Caudoviricetes sp. ctJLABV	45922	DTR	83	4	1	0	Tail fiber protein|Major Capsid Protein|Portal protein|Terminase large subunit	DNAB replicative helicase		d_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes	prodigal-gv	11	NaN
ct3_caudo_2a_52	NC_042000.1 |Arthrobacter phage Colucci, complete genome	Klausavirus sp. ct7S5N9	70707	None	110	11	1	0	Large Terminase|Portal protein|Major Capsid Protein|Virion morphogenesis family|tail sheath|tail tube protein|tail tape measure protein |Putative tail fiber protein |Putative structural protein |Baseplate J like protein|Putative structural protein 	phage replisome organiser		d_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes;g_Klausavirus	prodigal-gv	11	NaN
ct3_caudo_2a_53	MK112554.1 |Mycobacterium phage TinyTim, complete genome	Bixzunavirus sp. ctV9E6A	153817	None	240	15	2	0	Portal protein|minor head component F|Major Capsid Protein|Capsid decoration protein |Minor tail protein |tail protein|type I neck protein|tail sheath|major tail protein|tail tape measure protein |Baseplate J like protein|tail protein|Capsid decoration protein |tail protein|Terminase	Replicative helicase|DNAB Like Replicative Helicase		d_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes;-_Ceeclamvirinae;g_Bixzunavirus	prodigal-gv	11	NaN
