gene	start	stop	frame	contig	score	mmseqs_phrog	mmseqs_alnScore	mmseqs_seqIdentity	mmseqs_eVal	mmseqs_top_hit	pyhmmer_phrog	pyhmmer_bitscore	pyhmmer_evalue	custom_hmm_id	custom_hmm_bitscore	custom_hmm_evalue	phrog	Method	Region	color	annot	category	vfdb_hit	vfdb_alnScore	vfdb_seqIdentity	vfdb_eVal	vfdb_species	vfdb_short_name	vfdb_description	CARD_hit	CARD_alnScore	CARD_seqIdentity	CARD_eVal	CARD_species	ARO_Accession	CARD_short_name	Protein_Accession	DNA_Accession	AMR_Gene_Family	Drug_Class	Resistance_Mechanism	transl_table
MH617106.1_CDS_0006	2563	2417	-	MH617106.1	2.4	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	Pyrodigal-gv_0.3.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
MH617106.1_CDS_0007	3810	2701	-	MH617106.1	154.9	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	Pyrodigal-gv_0.3.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
MH617106.1_CDS_0008	4244	4011	-	MH617106.1	33.2	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	Pyrodigal-gv_0.3.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
MH617106.1_CDS_0009	4812	4237	-	MH617106.1	38.5	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	Pyrodigal-gv_0.3.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
MH617106.1_CDS_0010	5157	4966	-	MH617106.1	22.0	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	Pyrodigal-gv_0.3.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
GQ153918.1_CDS_0001	1	831	+	GQ153918.1	73.5	8855	241.0	1.0	5.426e-76	JF719734_p2	8855	323.529999	2.0403331552891086e-96	No_custom_HMM	No_custom_HMM	No_custom_HMM	8855	Pyrodigal-gv_0.3.1	CDS	#ffdf59	replication protein	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
GQ153918.1_CDS_0002	843	1106	+	GQ153918.1	20.8	1199	108.0	0.62	2.3390000000000002e-30	p382337 VI_06652	1199	107.28096	6.679207424215629e-31	No_custom_HMM	No_custom_HMM	No_custom_HMM	1199	Pyrodigal-gv_0.3.1	CDS	#ffdf59	single strand DNA binding protein	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
GQ153918.1_CDS_0003	1301	1522	+	GQ153918.1	8.2	1646	78.0	0.538	2.789e-20	p443014 VI_02646	1646	94.611649	6.95512817121575e-27	No_custom_HMM	No_custom_HMM	No_custom_HMM	1646	Pyrodigal-gv_0.3.1	CDS	#3e83f6	major coat protein	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
GQ153918.1_CDS_0004	1579	2853	+	GQ153918.1	174.1	8482	759.0	0.859	1.6909999999999998e-249	p440642 VI_11161	8482	867.2005	3.8126227734757147e-261	No_custom_HMM	No_custom_HMM	No_custom_HMM	8482	Pyrodigal-gv_0.3.1	CDS	#3e83f6	attachment protein	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
GQ153918.1_CDS_0005	2856	3194	+	GQ153918.1	26.4	1944	121.0	0.554	2.352e-34	NC_001954_p6	1944	136.771698	8.620885381115043e-40	No_custom_HMM	No_custom_HMM	No_custom_HMM	1944	Pyrodigal-gv_0.3.1	CDS	#3e83f6	minor head protein	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
GQ153918.1_CDS_0006	3196	4242	+	GQ153918.1	106.9	1675	574.0	0.774	1.39e-186	p443643 VI_01773	1675	539.833984	6.834233903341832e-162	No_custom_HMM	No_custom_HMM	No_custom_HMM	1675	Pyrodigal-gv_0.3.1	CDS	#3e83f6	morphogenesis (protein I of M13)	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
GQ153918.1_CDS_0007	4220	5500	+	GQ153918.1	136.1	1012	398.0	0.518	1.26e-124	p443333 VI_09893	1012	455.706055	2.2934571896707264e-136	No_custom_HMM	No_custom_HMM	No_custom_HMM	1012	Pyrodigal-gv_0.3.1	CDS	#3e83f6	assembly (protein IV of M13)	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
GQ153918.1_CDS_0008	6123	6407	+	GQ153918.1	8.0	702	91.0	0.597	4.308e-21	p439551 VI_11958	702	90.764023	1.976602136698814e-25	No_custom_HMM	No_custom_HMM	No_custom_HMM	702	Pyrodigal-gv_0.3.1	CDS	#ffdf59	replication protein	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_003311.2_CDS_0001	3	251	+	NC_003311.2	19.3	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	197	27.003176	5.694246571477789e-06	No_custom_HMM	No_custom_HMM	No_custom_HMM	197	Pyrodigal-gv_0.3.1	CDS	#ff59f5	Zot-like toxin	moron, auxiliary metabolic gene and host takeover	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_003311.2_CDS_0002	938	801	-	NC_003311.2	13.4	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	Pyrodigal-gv_0.3.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_003311.2_CDS_0003	1530	1189	-	NC_003311.2	18.9	638	154.0	0.699	4.614e-45	p438490 VI_02648	638	150.061844	7.674381316092771e-44	No_custom_HMM	No_custom_HMM	No_custom_HMM	638	Pyrodigal-gv_0.3.1	CDS	#a861e3	transcriptional regulator	transcription regulation	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_003311.2_CDS_0004	1700	1933	+	NC_003311.2	5.7	5006	67.0	0.617	2.008e-16	p421320 VI_07701	5006	70.49704	2.5600560022515317e-19	No_custom_HMM	No_custom_HMM	No_custom_HMM	5006	Pyrodigal-gv_0.3.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_003311.2_CDS_0005	2167	3270	+	NC_003311.2	90.7	16222	334.0	0.849	1.0090000000000001e-106	p441732 VI_02990	453	470.05777	1.9855985104498273e-140	No_custom_HMM	No_custom_HMM	No_custom_HMM	16222	Pyrodigal-gv_0.3.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_003311.2_CDS_0006	3275	3604	+	NC_003311.2	39.4	1410	207.0	0.932	2.016e-64	p438987 VI_07698	1410	175.275726	7.178411413349687e-52	No_custom_HMM	No_custom_HMM	No_custom_HMM	1410	Pyrodigal-gv_0.3.1	CDS	#ffdf59	single strand DNA binding protein	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_003311.2_CDS_0007	3622	3864	+	NC_003311.2	35.0	2924	118.0	0.715	6.259e-34	p441921 VI_08397	2924	120.997871	4.267766668886393e-35	No_custom_HMM	No_custom_HMM	No_custom_HMM	2924	Pyrodigal-gv_0.3.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_003311.2_CDS_0008	3875	4009	+	NC_003311.2	22.7	28600	105.0	1.0	1.7489999999999998e-29	AF452449_p5	3354	90.036926	1.2337659985716636e-25	No_custom_HMM	No_custom_HMM	No_custom_HMM	28600	Pyrodigal-gv_0.3.1	CDS	#3e83f6	major head protein	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_003311.2_CDS_0009	4356	5513	+	NC_003311.2	89.0	1698	124.0	0.295	6.072e-31	p419409 VI_03277	1698	443.818878	2.7082897871727354e-132	No_custom_HMM	No_custom_HMM	No_custom_HMM	1698	Pyrodigal-gv_0.3.1	CDS	#3e83f6	minor head protein; receptor binding	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_003311.2_CDS_0010	5931	6833	+	NC_003311.2	86.9	11271	185.0	0.652	5.480000000000001e-56	p442432 VI_08551	197	303.038788	1.1436603748117701e-89	No_custom_HMM	No_custom_HMM	No_custom_HMM	11271	Pyrodigal-gv_0.3.1	CDS	#3e83f6	head morphogenesis	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
ON170091.1_CDS_0001	1181	285	-	ON170091.1	19.4	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	Pyrodigal-gv_0.3.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
ON170091.1_CDS_0002	2491	1211	-	ON170091.1	73.4	1	65.0	0.225	1.092e-12	p428256 VI_04636	1	127.964539	1.3976658979742564e-36	No_custom_HMM	No_custom_HMM	No_custom_HMM	1	Pyrodigal-gv_0.3.1	CDS	#fea328	integrase	integration and excision	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
ON170091.1_CDS_0003	2679	3731	+	ON170091.1	154.4	5846	122.0	0.39	1.147e-31	KY606587_p99	5846	197.281677	9.355984606638844e-58	No_custom_HMM	No_custom_HMM	No_custom_HMM	5846	Pyrodigal-gv_0.3.1	CDS	#ffdf59	clamp loader of DNA polymerase	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
ON170091.1_CDS_0004	3798	5114	+	ON170091.1	216.6	16140	827.0	0.918	4.4e-273	p385484 VI_01828	16140	729.052917	2.8283469130564168e-219	No_custom_HMM	No_custom_HMM	No_custom_HMM	16140	Pyrodigal-gv_0.3.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
ON170091.1_CDS_0005	5338	5928	+	ON170091.1	45.5	125	154.0	0.537	1.092e-44	p108293 VI_06205	125	247.311859	3.39143883917576e-73	No_custom_HMM	No_custom_HMM	No_custom_HMM	125	Pyrodigal-gv_0.3.1	CDS	#ffdf59	DNA invertase	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
ON170091.1_CDS_0006	5948	6226	+	ON170091.1	0.2	33990	222.0	1.0	4.369e-70	KX179905_p12	33990	208.050735	2.5461855606921076e-62	No_custom_HMM	No_custom_HMM	No_custom_HMM	33990	Pyrodigal-gv_0.3.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
ON170091.1_CDS_0007	7158	6223	-	ON170091.1	82.5	3419	353.0	0.68	2.468e-111	p439112 VI_05608	3419	391.227905	6.27225477984874e-117	No_custom_HMM	No_custom_HMM	No_custom_HMM	3419	Pyrodigal-gv_0.3.1	CDS	#ffdf59	rolling circle DNA replication initiation	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
ON170091.1_CDS_0008	8989	7676	-	ON170091.1	146.7	197	165.0	0.399	1.847e-46	p439678 VI_01075	197	345.317383	1.733588030223345e-102	No_custom_HMM	No_custom_HMM	No_custom_HMM	197	Pyrodigal-gv_0.3.1	CDS	#ff59f5	Zot-like toxin	moron, auxiliary metabolic gene and host takeover	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
ON170091.1_CDS_0009	9323	8994	-	ON170091.1	46.5	974	123.0	0.574	4.032e-35	p437363 VI_05501	974	118.953934	3.324545873192195e-34	No_custom_HMM	No_custom_HMM	No_custom_HMM	974	Pyrodigal-gv_0.3.1	CDS	#3e83f6	minor head protein	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
ON170091.1_CDS_0010	10859	9336	-	ON170091.1	111.5	4544	677.0	0.667	1.483e-219	AB981170_p9	4544	644.985291	2.055257467561976e-193	No_custom_HMM	No_custom_HMM	No_custom_HMM	4544	Pyrodigal-gv_0.3.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
ON170091.1_CDS_0011	11152	10934	-	ON170091.1	21.4	2186	61.0	0.454	3.956e-14	AB981170_p8	2186	71.529686	8.934238829605038e-20	No_custom_HMM	No_custom_HMM	No_custom_HMM	2186	Pyrodigal-gv_0.3.1	CDS	#3e83f6	virion structural protein	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
ON170091.1_CDS_0012	11403	11155	-	ON170091.1	8.6	969	83.0	0.52	9.028e-22	p438115 VI_01058	969	80.808754	1.4476003065064507e-22	No_custom_HMM	No_custom_HMM	No_custom_HMM	969	Pyrodigal-gv_0.3.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
ON170091.1_CDS_0013	11615	11406	-	ON170091.1	42.9	11094	154.0	1.0	8.024999999999999e-47	AB981170_p6	11094	151.815063	9.394922532262257e-45	No_custom_HMM	No_custom_HMM	No_custom_HMM	11094	Pyrodigal-gv_0.3.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
ON170091.1_CDS_0014	11824	11615	-	ON170091.1	11.0	14400	153.0	1.0	1.512e-46	AB981170_p5	14400	146.056183	5.912757127802148e-43	No_custom_HMM	No_custom_HMM	No_custom_HMM	14400	Pyrodigal-gv_0.3.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
ON170091.1_CDS_0015	12102	11824	-	ON170091.1	36.6	6333	133.0	0.705	6.647999999999999e-39	p437358 VI_05501	6333	115.851509	2.0462870232777746e-33	No_custom_HMM	No_custom_HMM	No_custom_HMM	6333	Pyrodigal-gv_0.3.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
ON170091.1_CDS_0016	12357	12112	-	ON170091.1	27.3	13407	190.0	1.0	9.388e-59	p437357 VI_05501	13407	160.149567	1.9197277347879366e-47	No_custom_HMM	No_custom_HMM	No_custom_HMM	13407	Pyrodigal-gv_0.3.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
ON170091.1_CDS_0017	12683	12357	-	ON170091.1	38.7	2866	147.0	0.674	1.229e-43	NC_023586_p5	2866	140.1241	7.131212768022241e-41	No_custom_HMM	No_custom_HMM	No_custom_HMM	2866	Pyrodigal-gv_0.3.1	CDS	#ffdf59	single strand DNA binding protein	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
ON170091.1_CDS_0018	12876	13166	+	ON170091.1	27.5	638	64.0	0.445	6.467e-14	p438490 VI_02648	638	76.259262	4.3788597923222595e-21	No_custom_HMM	No_custom_HMM	No_custom_HMM	638	Pyrodigal-gv_0.3.1	CDS	#a861e3	transcriptional regulator	transcription regulation	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
OR148971.1_CDS_0001	1	1164	+	OR148971.1	73.3	197	166.0	0.409	9.926999999999998e-47	p439678 VI_01075	197	242.514709	2.5697239343752317e-71	No_custom_HMM	No_custom_HMM	No_custom_HMM	197	Pyrodigal-gv_0.3.1	CDS	#ff59f5	Zot-like toxin	moron, auxiliary metabolic gene and host takeover	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
OR148971.1_CDS_0002	1703	2653	+	OR148971.1	27.0	2199	159.0	0.273	4.539e-43	p153353 VI_00728	2199	255.002716	2.1748050083695827e-75	No_custom_HMM	No_custom_HMM	No_custom_HMM	2199	Pyrodigal-gv_0.3.1	CDS	#fea328	transposase	integration and excision	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
OR148971.1_CDS_0003	2902	4245	+	OR148971.1	135.5	453	235.0	0.426	1.09e-69	p438425 VI_01048	453	302.869415	1.0549973681182976e-89	No_custom_HMM	No_custom_HMM	No_custom_HMM	453	Pyrodigal-gv_0.3.1	CDS	#ffdf59	replication initiation protein	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
OR148971.1_CDS_0004	4291	4581	+	OR148971.1	29.7	4994	58.0	0.38	1.458e-12	LC066596_p3	4994	74.212105	1.841469438324595e-20	No_custom_HMM	No_custom_HMM	No_custom_HMM	4994	Pyrodigal-gv_0.3.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
OR148971.1_CDS_0005	4586	4783	+	OR148971.1	18.4	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	Pyrodigal-gv_0.3.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
OR148971.1_CDS_0006	4856	5086	+	OR148971.1	37.0	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	6548	47.269634	3.935235569761576e-12	No_custom_HMM	No_custom_HMM	No_custom_HMM	6548	Pyrodigal-gv_0.3.1	CDS	#3e83f6	major coat protein	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
OR148971.1_CDS_0007	5095	5397	+	OR148971.1	21.9	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	Pyrodigal-gv_0.3.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
