gene	start	stop	frame	contig	score	mmseqs_phrog	mmseqs_alnScore	mmseqs_seqIdentity	mmseqs_eVal	mmseqs_top_hit	pyhmmer_phrog	pyhmmer_bitscore	pyhmmer_evalue	custom_hmm_id	custom_hmm_bitscore	custom_hmm_evalue	phrog	Method	Region	color	annot	category	vfdb_hit	vfdb_alnScore	vfdb_seqIdentity	vfdb_eVal	vfdb_short_name	vfdb_description	vfdb_species	CARD_hit	CARD_alnScore	CARD_seqIdentity	CARD_eVal	CARD_species	ARO_Accession	CARD_short_name	Protein_Accession	DNA_Accession	AMR_Gene_Family	Drug_Class	Resistance_Mechanism	transl_table
NC_074560.1_CDS_0011	6087	6395	+	NC_074560.1	-0.3	29621	257.0	1.0	7.07e-82	NC_005258_p13	29621	224.269318	3.3030313095399156e-67	No_custom_HMM	No_custom_HMM	No_custom_HMM	29621	Pyrodigal-gv_0.3.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_074560.1_CDS_0012	6376	7014	+	NC_074560.1	59.1	2666	269.0	0.64	5.133e-84	p394408 VI_00688	2666	252.554688	1.5926822203632555e-74	No_custom_HMM	No_custom_HMM	No_custom_HMM	2666	Pyrodigal-gv_0.3.1	CDS	#3e83f6	terminase large subunit	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_074560.1_CDS_0013	7328	7582	+	NC_074560.1	34.5	9939	177.0	0.934	2.751e-54	p394411 VI_00688	9939	166.30899	3.3858276255978263e-49	No_custom_HMM	No_custom_HMM	No_custom_HMM	9939	Pyrodigal-gv_0.3.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_074560.1_CDS_0014	7582	8652	+	NC_074560.1	105.9	5863	663.0	0.892	1.006e-217	p394412 VI_00688	5863	634.324646	1.0019497717121017e-190	No_custom_HMM	No_custom_HMM	No_custom_HMM	5863	Pyrodigal-gv_0.3.1	CDS	#3e83f6	minor head protein	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_074560.1_CDS_0015	8694	8924	+	NC_074560.1	12.6	8076	146.0	0.915	7.566e-44	p390139 VI_00957	8076	153.631393	2.499010251818355e-45	No_custom_HMM	No_custom_HMM	No_custom_HMM	8076	Pyrodigal-gv_0.3.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_074560.1_CDS_0016	8928	9119	+	NC_074560.1	6.3	4898	65.0	0.864	2.492e-16	KY947509_p35	4898	94.779205	5.8354948241330216e-27	No_custom_HMM	No_custom_HMM	No_custom_HMM	4898	Pyrodigal-gv_0.3.1	CDS	#f35f49	holin	lysis	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_074560.1_CDS_0017	9203	9628	+	NC_074560.1	44.9	9080	304.0	0.998	2.502e-97	p353963 VI_00442	9080	266.929016	8.770071366221569e-80	No_custom_HMM	No_custom_HMM	No_custom_HMM	9080	Pyrodigal-gv_0.3.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_074560.1_CDS_0018	9798	9944	+	NC_074560.1	9.2	13072	108.0	1.0	2.1470000000000003e-31	NC_011523_p22	13072	114.752853	2.587021841133789e-33	No_custom_HMM	No_custom_HMM	No_custom_HMM	13072	Pyrodigal-gv_0.3.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_074560.1_CDS_0019	9956	10231	+	NC_074560.1	11.1	7846	170.0	0.886	4.79e-52	p395398 VI_00694	7846	168.061661	7.551257975357541e-50	No_custom_HMM	No_custom_HMM	No_custom_HMM	7846	Pyrodigal-gv_0.3.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_074560.1_CDS_0020	10235	10849	+	NC_074560.1	68.7	8814	433.0	1.0	5.225e-141	NC_005258_p25	8814	414.257019	1.5229725994682054e-124	No_custom_HMM	No_custom_HMM	No_custom_HMM	8814	Pyrodigal-gv_0.3.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_074560.1_CDS_0021	10849	11601	+	NC_074560.1	52.7	8251	555.0	1.0	2.227e-182	NC_005258_p26	8251	526.431458	2.1409602029375346e-158	No_custom_HMM	No_custom_HMM	No_custom_HMM	8251	Pyrodigal-gv_0.3.1	CDS	#f35f49	endolysin	lysis	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_074560.1_CDS_0022	11540	12061	+	NC_074560.1	26.5	8240	386.0	1.0	2.0649999999999998e-125	NC_005258_p27	8240	369.280273	4.5554371272328144e-111	No_custom_HMM	No_custom_HMM	No_custom_HMM	8240	Pyrodigal-gv_0.3.1	CDS	#07e9a2	pentameric base spike protein	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_074560.1_CDS_0023	12074	12967	+	NC_074560.1	94.3	9224	589.0	0.923	4.785e-193	NC_005258_p28	9224	571.827759	5.345390003737469e-172	No_custom_HMM	No_custom_HMM	No_custom_HMM	9224	Pyrodigal-gv_0.3.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_074560.1_CDS_0024	12971	13849	+	NC_074560.1	85.3	10120	297.0	0.559	3.323e-92	NC_005258_p29	10120	292.688354	4.822775937698171e-87	No_custom_HMM	No_custom_HMM	No_custom_HMM	10120	Pyrodigal-gv_0.3.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_074560.1_CDS_0025	13857	14654	+	NC_074560.1	89.2	435	128.0	0.407	1.8050000000000002e-34	p149526 VI_06100	435	213.758224	1.121194207822025e-62	No_custom_HMM	No_custom_HMM	No_custom_HMM	435	Pyrodigal-gv_0.3.1	CDS	#f35f49	endolysin	lysis	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_074561.1_CDS_0001	590	928	+	NC_074561.1	30.7	44	136.0	0.612	1.2849999999999999e-39	p256451 VI_01358	44	187.797012	6.394761480065712e-55	No_custom_HMM	No_custom_HMM	No_custom_HMM	44	Pyrodigal-gv_0.3.1	CDS	#ffdf59	single strand DNA binding protein	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_074561.1_CDS_0002	943	1128	+	NC_074561.1	7.8	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	Pyrodigal-gv_0.3.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_074561.1_CDS_0003	1174	1923	+	NC_074561.1	78.7	8330	104.0	0.3	1.905e-26	p339762 VI_00685	8330	105.168388	8.053768299409627e-30	No_custom_HMM	No_custom_HMM	No_custom_HMM	8330	Pyrodigal-gv_0.3.1	CDS	#ffdf59	genome terminal protein	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_074561.1_CDS_0004	1886	3961	+	NC_074561.1	223.2	1907	106.0	0.217	3.577e-25	NC_001825_p5	1907	264.286682	4.801362026508945e-78	No_custom_HMM	No_custom_HMM	No_custom_HMM	1907	Pyrodigal-gv_0.3.1	CDS	#ffdf59	DNA polymerase	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_074561.1_CDS_0005	3958	4176	+	NC_074561.1	11.5	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	Pyrodigal-gv_0.3.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_074561.1_CDS_0006	4166	4366	+	NC_074561.1	18.4	3502	66.0	0.508	3.637e-16	p113785 VI_00114	3502	67.011314	3.3106732160901476e-18	No_custom_HMM	No_custom_HMM	No_custom_HMM	3502	Pyrodigal-gv_0.3.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_074561.1_CDS_0007	4610	5047	+	NC_074561.1	65.4	8764	193.0	0.732	2.679e-59	p391586 VI_05072	8764	183.451828	3.209738278897271e-54	No_custom_HMM	No_custom_HMM	No_custom_HMM	8764	Pyrodigal-gv_0.3.1	CDS	#3e83f6	virion structural protein	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_074561.1_CDS_0008	5429	4875	-	NC_074561.1	1.5	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	Pyrodigal-gv_0.3.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_074561.1_CDS_0009	5465	5707	+	NC_074561.1	18.9	9100	120.0	0.726	1.103e-34	p391587 VI_05072	9100	119.050652	1.693956085878832e-34	No_custom_HMM	No_custom_HMM	No_custom_HMM	9100	Pyrodigal-gv_0.3.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_074561.1_CDS_0010	5965	6603	+	NC_074561.1	52.0	2666	271.0	0.643	1.995e-84	p394408 VI_00688	2666	254.408554	4.370417552231368e-75	No_custom_HMM	No_custom_HMM	No_custom_HMM	2666	Pyrodigal-gv_0.3.1	CDS	#3e83f6	terminase large subunit	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_074561.1_CDS_0011	6832	6455	-	NC_074561.1	7.5	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	Pyrodigal-gv_0.3.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_074561.1_CDS_0012	6916	7185	+	NC_074561.1	35.4	9939	172.0	0.911	1.225e-52	p394411 VI_00688	9939	154.110428	2.165088214170862e-45	No_custom_HMM	No_custom_HMM	No_custom_HMM	9939	Pyrodigal-gv_0.3.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_074561.1_CDS_0013	7185	8255	+	NC_074561.1	95.9	5863	672.0	0.902	9.83e-221	p394412 VI_00688	5863	637.22998	1.311049501884776e-191	No_custom_HMM	No_custom_HMM	No_custom_HMM	5863	Pyrodigal-gv_0.3.1	CDS	#3e83f6	minor head protein	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_074561.1_CDS_0014	8297	8527	+	NC_074561.1	10.6	8076	148.0	0.928	1.132e-44	p390139 VI_00957	8076	155.128403	8.522664423958509e-46	No_custom_HMM	No_custom_HMM	No_custom_HMM	8076	Pyrodigal-gv_0.3.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_074561.1_CDS_0015	8531	8689	+	NC_074561.1	9.6	4898	93.0	0.886	5.368e-26	KY947509_p35	4898	84.494453	9.485925653778315e-24	No_custom_HMM	No_custom_HMM	No_custom_HMM	4898	Pyrodigal-gv_0.3.1	CDS	#f35f49	holin	lysis	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_074561.1_CDS_0016	8763	9194	+	NC_074561.1	29.8	9080	320.0	1.0	5.979e-103	p353963 VI_00442	9080	300.526215	3.805567456943209e-90	No_custom_HMM	No_custom_HMM	No_custom_HMM	9080	Pyrodigal-gv_0.3.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_074561.1_CDS_0017	9364	9510	+	NC_074561.1	6.9	13072	108.0	1.0	2.1470000000000003e-31	NC_011523_p22	13072	114.752853	2.587021841133789e-33	No_custom_HMM	No_custom_HMM	No_custom_HMM	13072	Pyrodigal-gv_0.3.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_074561.1_CDS_0018	9522	9797	+	NC_074561.1	11.3	7846	165.0	0.861	4.016e-50	p395398 VI_00694	7846	163.732056	1.693435208457187e-48	No_custom_HMM	No_custom_HMM	No_custom_HMM	7846	Pyrodigal-gv_0.3.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_074561.1_CDS_0019	9801	10418	+	NC_074561.1	59.3	8814	304.0	0.752	3.215e-96	NC_005258_p25	8814	297.374908	9.450832326370257e-89	No_custom_HMM	No_custom_HMM	No_custom_HMM	8814	Pyrodigal-gv_0.3.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_074561.1_CDS_0020	10423	11175	+	NC_074561.1	82.6	8251	557.0	1.0	3.357e-183	NC_005258_p26	8251	533.883972	1.1366122381001566e-160	No_custom_HMM	No_custom_HMM	No_custom_HMM	8251	Pyrodigal-gv_0.3.1	CDS	#f35f49	endolysin	lysis	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_074561.1_CDS_0021	11114	11635	+	NC_074561.1	31.2	8240	387.0	1.0	1.099e-125	NC_005258_p27	8240	369.834076	3.078679267432987e-111	No_custom_HMM	No_custom_HMM	No_custom_HMM	8240	Pyrodigal-gv_0.3.1	CDS	#07e9a2	pentameric base spike protein	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_074561.1_CDS_0022	11648	12541	+	NC_074561.1	87.3	9224	591.0	0.925	1.356e-193	NC_005258_p28	9224	562.713623	3.190644240400564e-169	No_custom_HMM	No_custom_HMM	No_custom_HMM	9224	Pyrodigal-gv_0.3.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_074561.1_CDS_0023	12545	13429	+	NC_074561.1	74.4	10120	453.0	0.765	3.4199999999999996e-146	NC_005258_p29	10120	439.694366	7.838772257046142e-132	No_custom_HMM	No_custom_HMM	No_custom_HMM	10120	Pyrodigal-gv_0.3.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_074561.1_CDS_0024	13443	14234	+	NC_074561.1	95.3	435	134.0	0.418	1.732e-36	p149526 VI_06100	435	206.372406	1.9369758223591896e-60	No_custom_HMM	No_custom_HMM	No_custom_HMM	435	Pyrodigal-gv_0.3.1	CDS	#f35f49	endolysin	lysis	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_055059.1_CDS_0001	442	263	-	NC_055059.1	7.2	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	Pyrodigal-gv_0.3.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_055059.1_CDS_0002	681	442	-	NC_055059.1	2.6	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	Pyrodigal-gv_0.3.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_055059.1_CDS_0003	974	681	-	NC_055059.1	7.7	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	Pyrodigal-gv_0.3.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_055059.1_CDS_0004	1381	971	-	NC_055059.1	23.2	301	62.0	0.353	5.098e-14	NC_022976_p67	301	77.186974	2.3324418197412825e-21	No_custom_HMM	No_custom_HMM	No_custom_HMM	301	Pyrodigal-gv_0.3.1	CDS	#838383	secreted protein	other	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_055059.1_CDS_0005	1715	1383	-	NC_055059.1	36.8	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	Pyrodigal-gv_0.3.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_055059.1_CDS_0006	1888	1697	-	NC_055059.1	14.7	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	Pyrodigal-gv_0.3.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_055059.1_CDS_0007	2450	2064	-	NC_055059.1	47.2	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	Pyrodigal-gv_0.3.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_055059.1_CDS_0008	2751	2500	-	NC_055059.1	16.3	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	Pyrodigal-gv_0.3.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_055059.1_CDS_0009	3413	3075	-	NC_055059.1	12.3	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	Pyrodigal-gv_0.3.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_055059.1_CDS_0010	5760	3622	-	NC_055059.1	147.1	11768	84.0	0.231	3.775e-18	NC_007914_p12	11768	138.773056	4.674630098818662e-40	No_custom_HMM	No_custom_HMM	No_custom_HMM	11768	Pyrodigal-gv_0.3.1	CDS	#ffdf59	DNA polymerase	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_055059.1_CDS_0011	6604	6182	-	NC_055059.1	50.2	44	93.0	0.481	1.599e-24	p256451 VI_01358	44	134.338409	1.28080642916468e-38	No_custom_HMM	No_custom_HMM	No_custom_HMM	44	Pyrodigal-gv_0.3.1	CDS	#ffdf59	single strand DNA binding protein	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_055059.1_CDS_0012	6778	7158	+	NC_055059.1	37.5	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	Pyrodigal-gv_0.3.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_055059.1_CDS_0013	7155	7730	+	NC_055059.1	43.4	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	Pyrodigal-gv_0.3.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_055059.1_CDS_0014	7723	8511	+	NC_055059.1	62.0	2666	93.0	0.322	4.163e-23	p394408 VI_00688	2666	103.730385	1.9347772865101193e-29	No_custom_HMM	No_custom_HMM	No_custom_HMM	2666	Pyrodigal-gv_0.3.1	CDS	#3e83f6	terminase large subunit	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_055059.1_CDS_0015	8527	8664	+	NC_055059.1	15.2	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	Pyrodigal-gv_0.3.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_055059.1_CDS_0016	8679	9860	+	NC_055059.1	148.2	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	5863	29.167273	9.327530064331689e-07	No_custom_HMM	No_custom_HMM	No_custom_HMM	5863	Pyrodigal-gv_0.3.1	CDS	#3e83f6	minor head protein	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NC_055059.1_CDS_0017	9874	10029	+	NC_055059.1	13.4	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	Pyrodigal-gv_0.3.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
