locus_tag	FOAM	KEGG	COG	CAZy	PHROG	VOG	Best hit	length_bp	e-value	score	EC_number	product
NC_012757.1_7					phrog_306	VOG03318	VOG:VOG03318	105	8e-42	138.7		hypothetical protein
NC_012757.1_8		K10954	COG4128		phrog_197	VOG36850	VOG:VOG36850	385	8.2e-110	364.0		Protein OPG159
NC_012757.1_9					phrog_1668	VOG06407	VOG:VOG06407	125	9.7e-78	255.1		hypothetical protein
NC_012757.1_10					phrog_638	VOG01236	PHROG:phrog_638	99	1e-43	144.9		transcriptional regulator
NC_012757.1_11					phrog_5006	VOG36997	VOG:VOG36997	83	2.3e-59	194.3		hypothetical protein
NC_012757.1_12					phrog_2419	VOG37025	VOG:VOG37025	68	2.2e-52	171.4		putative viral structural protein
NC_009987.1_1					phrog_21884	VOG29996	VOG:VOG29996	37	2.9e-29	97.1		hypothetical protein
NC_009987.1_2					phrog_15243	VOG10064	VOG:VOG10064	83	2.8e-55	182.8		lysM motif protein
NC_009987.1_3					phrog_11343	VOG10059	VOG:VOG10059	92	2.5e-51	171.2		cell adhesion protein
NC_009987.1_4												Hypothetical
NC_009987.1_5					phrog_5673	VOG10061	VOG:VOG10061	45	1.9e-28	95.2		hypothetical protein
NC_009987.1_6					phrog_14869	VOG10062	VOG:VOG10062	119	5.1e-76	252.9		hypothetical protein
NC_009987.1_7					phrog_14869	VOG10062	VOG:VOG10062	59	2.3e-34	115.3		hypothetical protein
NC_009987.1_8					phrog_14869	VOG10062	VOG:VOG10062	330	1.5e-221	734.0		hypothetical protein
NC_009987.1_9					phrog_8463		PHROG:phrog_8463	157	9e-40	133.3		transposase
NC_009987.1_10			COG2801		phrog_8463	VOG00376	PHROG:phrog_8463	173	3e-67	223.7		transposase
NC_006294.1_1			COG2946		phrog_453	VOG36849	VOG:VOG36849	368	1.2e-141	468.2		hypothetical protein
NC_006294.1_2					phrog_1410	VOG36903	VOG:VOG36903	89	4.5e-47	155.1		Uncharacterized protein L631
NC_006294.1_3												Hypothetical
NC_006294.1_4					phrog_3590	VOG37099	VOG:VOG37099	311	1.4e-202	670.0		hypothetical protein
NC_006294.1_5												Hypothetical
NC_006294.1_6					phrog_306	VOG36876	VOG:VOG36876	115	2.9e-63	207.8		hypothetical protein
NC_006294.1_7		K10954	COG4128		phrog_197	VOG36850	VOG:VOG36850	456	3.7e-104	345.4		Protein OPG159
NC_006294.1_8					phrog_7006	VOG37097	VOG:VOG37097	58	1.8e-38	127.0		hypothetical protein
NC_006294.1_9					phrog_11804, phrog_10360		PHROG:phrog_11804	133	9.2e-27	88.8		hypothetical
NC_006294.1_10												Hypothetical
NC_005949.1_1			COG2946		phrog_16222	VOG36849	PHROG:phrog_16222	197	2.7e-90	297.4		hypothetical
NC_005949.1_2					phrog_1410	VOG36903	VOG:VOG36903	118	6.9e-56	183.5		Uncharacterized protein L631
NC_005949.1_3					phrog_2924	VOG03439	PHROG:phrog_2924	82	4.7e-40	132.2		hypothetical
NC_005949.1_4					phrog_6548	VOG36904	VOG:VOG36904	78	5.9e-43	141.2		hypothetical protein
NC_005949.1_5					phrog_1698	VOG03342	VOG:VOG03342	492	5.4e-206	681.7		hypothetical protein
NC_005949.1_6					phrog_306	VOG03318	VOG:VOG03318	105	3.2e-42	140.0		hypothetical protein
NC_005949.1_7		K10954	COG4128		phrog_197	VOG36850	VOG:VOG36850	381	3.4e-105	348.8		Protein OPG159
NC_005949.1_8												Hypothetical
NC_005949.1_9					phrog_1668	VOG06407	PHROG:phrog_1668	123	1.6e-62	205.4		tail assembly protein
NC_005949.1_10					phrog_638	VOG01236	PHROG:phrog_638	149	5.2e-52	171.8		transcriptional regulator
NC_005949.1_11					phrog_24017		PHROG:phrog_24017	204	1.7e-90	298.3		hypothetical
NC_005949.1_12					phrog_3104		PHROG:phrog_3104	72	3.1e-43	142.3		hypothetical
NC_005949.1_13			COG2946		phrog_27563	VOG36849	PHROG:phrog_27563	186	9.6e-83	272.3		hypothetical
NC_001418.1_1												Hypothetical
NC_001418.1_2					phrog_19149		PHROG:phrog_19149	484	2.1e-20	68.4		hypothetical
NC_001418.1_3					phrog_1242	VOG01896	VOG:VOG01896	94	1.8e-28	95.4		hypothetical protein
NC_001418.1_4		K02666	COG4796		phrog_1012	VOG36874	VOG:VOG36874	431	1.6e-144	477.8		gp6
NC_001418.1_5		K10954	COG4128		phrog_197	VOG36850	VOG:VOG36850	302	2.3e-79	250.9		Protein OPG159
NC_001418.1_6												Hypothetical
NC_001418.1_7												Hypothetical
NC_001418.1_8												Hypothetical
NC_001418.1_9												Hypothetical
NC_001341.1_1												Hypothetical
NC_001341.1_2												Hypothetical
NC_001341.1_3												Hypothetical
NC_001341.1_4												Hypothetical
NC_001341.1_5												Hypothetical
NC_001341.1_6												Hypothetical
NC_001341.1_7												Hypothetical
OR790969.1_1		K03657	COG0210		phrog_1967	VOG03885	KEGG:K03657	661	1.3e-47	159.1	3.6.4.12	DNA helicase II / ATP-dependent DNA helicase PcrA
OR790969.1_2		K07459	COG3593		phrog_4747		KEGG:K07459	648	5.3e-85	282.8		Putative ATP-dependent endonuclease of the OLD family
OR790969.1_3					phrog_7381		PHROG:phrog_7381	233	4.3e-124	409.2		hypothetical
OR790969.1_4					phrog_5560		PHROG:phrog_5560	98	2.5e-32	107.5		hypothetical
OR790969.1_5					phrog_147		PHROG:phrog_147	90	1.1e-18	63.7		transcriptional regulator
OR790969.1_6					phrog_1864		PHROG:phrog_1864	72	9.7e-38	124.1		hypothetical
OR790969.1_7					phrog_4515, phrog_4515		PHROG:phrog_4515	150	5.9e-77	191.6		hypothetical
OR790969.1_8					phrog_10578		PHROG:phrog_10578	126	3.1e-62	204.8		hypothetical
OR790969.1_9					phrog_1144		PHROG:phrog_1144	145	6.3e-92	301.2		single strand DNA binding protein
OR790969.1_10												Hypothetical
OR790969.1_11					phrog_1147		PHROG:phrog_1147	84	1.1e-46	153.3		hypothetical
OR790969.1_12					phrog_2238		PHROG:phrog_2238	73	7.5e-42	137.9		hypothetical
OR790969.1_13					phrog_815		PHROG:phrog_815	381	4e-120	397.8		hypothetical
OR790969.1_14					phrog_306		PHROG:phrog_306	117	2.2e-41	137.7		minor head protein Ace-like
OR790969.1_15		K10954	COG4128		phrog_1041	VOG36850	PHROG:phrog_1041	421	1.1e-187	620.7		CTXphi Zot-like toxin
OR790969.1_16												Hypothetical
OR790969.1_17					phrog_1159		PHROG:phrog_1159	431	5e-253	835.7		hypothetical
OR790969.1_18		K14059	COG4974		phrog_1	VOG00056	PHROG:phrog_1	332	3.5e-69	230.2		integrase
OR790969.1_19					phrog_9171		PHROG:phrog_9171	75	6.9e-56	182.7		hypothetical
OR801193.1_1												Hypothetical
OR801193.1_2					phrog_19944		PHROG:phrog_19944	201	1.2e-144	475.2		hypothetical
OR801193.1_3					phrog_17938		PHROG:phrog_17938	156	3.5e-102	335.4		hypothetical
OR801193.1_4					phrog_7381		PHROG:phrog_7381	233	1.8e-139	459.6		hypothetical
OR801193.1_5					phrog_37130		PHROG:phrog_37130	91	1e-29	97.8		hypothetical
OR801193.1_6					phrog_1864		PHROG:phrog_1864	72	7.2e-37	121.3		hypothetical
OR801193.1_7					phrog_4078		PHROG:phrog_4078	71	5.7e-49	160.5		hypothetical
OR801193.1_8					phrog_1708		PHROG:phrog_1708	97	1.1e-58	192.1		hypothetical
OR801193.1_9					phrog_10578		PHROG:phrog_10578	126	4.3e-60	197.9		hypothetical
OR801193.1_10					phrog_1144		PHROG:phrog_1144	145	3.4e-92	302.1		single strand DNA binding protein
OR801193.1_11												Hypothetical
OR801193.1_12					phrog_1147		PHROG:phrog_1147	84	1.1e-46	153.3		hypothetical
OR801193.1_13					phrog_2238		PHROG:phrog_2238	73	7.5e-42	137.9		hypothetical
OR801193.1_14					phrog_815		PHROG:phrog_815	381	1.7e-120	398.9		hypothetical
OR801193.1_15					phrog_306		PHROG:phrog_306	117	1.2e-41	138.5		minor head protein Ace-like
OR801193.1_16		K10954	COG4128		phrog_1041	VOG36850	PHROG:phrog_1041	421	2.9e-187	619.2		CTXphi Zot-like toxin
OR801193.1_17												Hypothetical
OR801193.1_18					phrog_1159		PHROG:phrog_1159	431	3e-253	836.4		hypothetical
OR801193.1_19		K14059	COG4974		phrog_1	VOG00056	PHROG:phrog_1	328	3.5e-69	230.3		integrase
OR801193.1_20					phrog_2268		PHROG:phrog_2268	84	4.8e-34	112.7		antitoxin from a toxin-antitoxin system
OR801193.1_21					phrog_12577		PHROG:phrog_12577	116	1e-66	218.6		hypothetical
OP867012.1_1					phrog_91	VOG01486	PHROG:phrog_91	715	8e-157	519.8		nicking at origin of replication
OP867012.1_2					phrog_5738		PHROG:phrog_5738	105	7.9e-34	112.7		single strand DNA binding protein
OP867012.1_3												Hypothetical
OP867012.1_4					phrog_2374		PHROG:phrog_2374	68	1.1e-18	63.5		hypothetical
OP867012.1_5												Hypothetical
OP867012.1_6					phrog_1242		PHROG:phrog_1242	116	4.8e-23	77.4		minor head protein
OP867012.1_7		K10954	COG4128		phrog_1041	VOG36850	PHROG:phrog_1041	443	2.8e-92	306.3		CTXphi Zot-like toxin
OP867012.1_8					phrog_36048		PHROG:phrog_36048	74	3.7e-19	65.0		hypothetical
OP867012.1_9												Hypothetical
OP867012.1_10												Hypothetical
OQ709403.1_1					phrog_17517		PHROG:phrog_17517	802	2e-27	91.3		tail protein
OQ709403.1_2												Hypothetical
OQ709403.1_3												Hypothetical
OQ709403.1_4												Hypothetical
OQ709403.1_5												Hypothetical
OQ709403.1_6												Hypothetical
OQ709403.1_7												Hypothetical
OQ709403.1_8												Hypothetical
OQ709403.1_9												Hypothetical
OQ709403.1_10		K07482	COG2826		phrog_4646		PHROG:phrog_4646	356	5.5e-87	288.4		transposase
OQ709403.1_11												Hypothetical
OQ709403.1_12												Hypothetical
OQ709403.1_13												Hypothetical
OQ709403.1_14												Hypothetical
OQ709403.1_15												Hypothetical
OQ709403.1_16												Hypothetical
ON170021.1_1					phrog_638	VOG01236	VOG:VOG01236	130	1.3e-43	144.9		hypothetical protein
ON170021.1_2					phrog_9247	VOG36882	VOG:VOG36882	69	3.8e-42	138.7		hypothetical protein
ON170021.1_3			COG2946		phrog_453	VOG36849	VOG:VOG36849	376	6.4e-110	360.6		hypothetical protein
ON170021.1_4					phrog_4994	VOG36884	VOG:VOG36884	104	9.3e-69	224.9		hypothetical protein
ON170021.1_5					phrog_7106	VOG36885	VOG:VOG36885	67	8.8e-42	137.8		hypothetical protein
ON170021.1_6					phrog_12382	VOG36886	VOG:VOG36886	112	2e-77	252.7		hypothetical protein
ON170021.1_7					phrog_13221	VOG36887	PHROG:phrog_13221	427	1.4e-242	801.4		hypothetical
ON170021.1_8					phrog_1242	VOG01896	VOG:VOG01896	91	1.3e-24	83.1		hypothetical protein
ON170021.1_9		K10954	COG4128		phrog_197	VOG36850	VOG:VOG36850	365	7.7e-91	301.5		Protein OPG159
ON170021.1_10					phrog_9651	VOG36888	PHROG:phrog_9651	239	1.8e-84	279.3		hypothetical
ON170021.1_11					phrog_11797	VOG36889	VOG:VOG36889	144	2.5e-100	328.7		hypothetical protein
ON170021.1_12												Hypothetical
ON170046.1_1					phrog_2866	VOG36946	VOG:VOG36946	122	6.2e-31	102.8		hypothetical protein
ON170046.1_2					phrog_13407	VOG36947	VOG:VOG36947	88	2.3e-47	155.1		gp264
ON170046.1_3												Hypothetical
ON170046.1_4					phrog_4644	VOG06326	VOG:VOG06326	78	2e-27	91.7		hypothetical protein
ON170046.1_5					phrog_2374		PHROG:phrog_2374	74	3.8e-18	61.8		hypothetical
ON170046.1_6					phrog_4352	VOG37227	VOG:VOG37227	486	7.6e-144	474.6		clostripain precursor
ON170046.1_7					phrog_1242	VOG01896	VOG:VOG01896	106	1.2e-32	108.7		hypothetical protein
ON170046.1_8		K10954	COG4128		phrog_197	VOG36850	VOG:VOG36850	384	3e-91	302.9		Protein OPG159
ON170046.1_9					phrog_3419	VOG36945	VOG:VOG36945	352	8.4e-107	353.1		hypothetical protein
ON170046.1_10												Hypothetical
ON170046.1_11		K21528	COG1961		phrog_125	VOG00303	PHROG:phrog_125	237	2.1e-70	232.8		DNA invertase
ON170046.1_12		K01875	COG0172		phrog_16140	VOG02981	PHROG:phrog_16140	439	1.3e-219	725.3		hypothetical
ON170046.1_13		K07478	COG2256		phrog_5846	VOG02490	COG:COG2256	449	9.5e-210	694.5		Replication-associated recombination protein RarA (DNA-dependent ATPase)
ON170069.1_1					phrog_11797	VOG36889	VOG:VOG36889	144	2e-101	332.3		hypothetical protein
ON170069.1_2					phrog_9651	VOG36888	PHROG:phrog_9651	254	3.3e-118	389.7		hypothetical
ON170069.1_3		K10954	COG4128		phrog_197	VOG36850	VOG:VOG36850	382	1.3e-104	346.9		Protein OPG159
ON170069.1_4					phrog_1242	VOG01896	VOG:VOG01896	106	1.2e-36	121.6		hypothetical protein
ON170069.1_5					phrog_4352	VOG37227	VOG:VOG37227	466	1.3e-254	841.9		clostripain precursor
ON170069.1_6					phrog_2374		PHROG:phrog_2374	70	2e-21	72.3		hypothetical
ON170069.1_7					phrog_4644	VOG06326	VOG:VOG06326	80	1e-34	115.1		hypothetical protein
ON170069.1_8					phrog_6333	VOG36950	VOG:VOG36950	91	2.4e-43	143.1		hypothetical protein
ON170069.1_9					phrog_4994	VOG36884	VOG:VOG36884	106	2.8e-69	226.5		hypothetical protein
ON170069.1_10			COG2946		phrog_453	VOG36849	VOG:VOG36849	359	2e-108	355.4		hypothetical protein
ON170069.1_11												Hypothetical
ON170069.1_12					phrog_9247	VOG36882	VOG:VOG36882	69	1.8e-41	136.6		hypothetical protein
ON170069.1_13					phrog_638	VOG01236	PHROG:phrog_638	130	1.4e-37	125.0		transcriptional regulator
ON170069.1_14					phrog_32130		PHROG:phrog_32130	152	4.7e-104	341.2		hypothetical
ON170069.1_15		K06075	COG1846				COG:COG1846	158	4.4e-24	82.3		DNA-binding transcriptional regulator, MarR family
ON170069.1_16												Hypothetical
ON170069.1_17		K15941	COG2329				COG:COG2329	165	5.5e-21	71.9		Heme-degrading monooxygenase HmoA and related ABM domain proteins
ON170069.1_18		K15974	COG1846				COG:COG1846	156	2.5e-27	93.0		DNA-binding transcriptional regulator, MarR family
ON170069.1_19	K03446	K03446	COG0477		phrog_2034		FOAM:K03446	498	6.4e-173	572.4		emrB; MFS transporter, DHA2 family, multidrug resistance protein
ON170093.1_1					phrog_638		PHROG:phrog_638	97	2.8e-25	85.1		transcriptional regulator
ON170093.1_2					phrog_2866	VOG36946	VOG:VOG36946	109	5.1e-57	186.9		hypothetical protein
ON170093.1_3					phrog_13407	VOG36947	VOG:VOG36947	82	3.1e-54	177.2		gp264
ON170093.1_4					phrog_6333	VOG36950	VOG:VOG36950	93	8.1e-40	131.8		hypothetical protein
ON170093.1_5					phrog_14400	VOG36951	VOG:VOG36951	70	1.1e-45	150.2		hypothetical protein
ON170093.1_6					phrog_11094	VOG36949	VOG:VOG36949	70	3.4e-46	151.8		tail tube protein
ON170093.1_7					phrog_969	VOG03439	VOG:VOG03439	83	9.9e-35	115.1		hypothetical protein
ON170093.1_8					phrog_2186	VOG36952	VOG:VOG36952	73	9.1e-46	150.5		hypothetical protein
ON170093.1_9					phrog_4544	VOG36887	VOG:VOG36887	508	3.1e-220	728.3		hypothetical protein
ON170093.1_10					phrog_974	VOG03318	VOG:VOG03318	110	6.6e-41	135.8		hypothetical protein
ON170093.1_11		K10954	COG4128		phrog_197	VOG36850	VOG:VOG36850	438	1.9e-116	385.9		Protein OPG159
ON170093.1_12												Hypothetical
ON170093.1_13					phrog_3419	VOG36945	VOG:VOG36945	312	3.6e-175	577.8		hypothetical protein
ON170093.1_14					phrog_33990		PHROG:phrog_33990	93	1e-63	207.9		hypothetical
ON170093.1_15		K21528	COG1961		phrog_125	VOG00303	PHROG:phrog_125	197	4e-71	235.2		DNA invertase
ON170093.1_16		K01875	COG0172		phrog_16140	VOG02981	PHROG:phrog_16140	439	1.5e-220	728.4		hypothetical
ON170093.1_17		K07478	COG2256		phrog_5846		COG:COG2256	390	8.4e-145	479.9		Replication-associated recombination protein RarA (DNA-dependent ATPase)
ON170093.1_18		K14059	COG4974		phrog_1	VOG00056	VOG:VOG00056	427	8.6e-40	129.0		Replication-associated protein
ON170093.1_19												Hypothetical
ON170115.1_1												Hypothetical
ON170115.1_2		K14059	COG4974		phrog_1	VOG00056	VOG:VOG00056	427	8.6e-40	129.0		Replication-associated protein
ON170115.1_3		K07478	COG2256		phrog_5846		COG:COG2256	390	8.4e-145	479.9		Replication-associated recombination protein RarA (DNA-dependent ATPase)
ON170115.1_4		K01875	COG0172		phrog_16140	VOG02981	PHROG:phrog_16140	439	1.5e-220	728.4		hypothetical
ON170115.1_5		K21528	COG1961		phrog_125	VOG00303	PHROG:phrog_125	197	4e-71	235.2		DNA invertase
ON170115.1_6					phrog_33990		PHROG:phrog_33990	93	1e-63	207.9		hypothetical
ON170115.1_7					phrog_3419	VOG36945	VOG:VOG36945	312	3.6e-175	577.8		hypothetical protein
ON170115.1_8												Hypothetical
ON170115.1_9		K10954	COG4128		phrog_197	VOG36850	VOG:VOG36850	438	1.9e-116	385.9		Protein OPG159
ON170115.1_10					phrog_974	VOG03318	VOG:VOG03318	110	6.6e-41	135.8		hypothetical protein
ON170115.1_11					phrog_4544	VOG36887	VOG:VOG36887	508	3.1e-220	728.3		hypothetical protein
ON170115.1_12					phrog_2186	VOG36952	VOG:VOG36952	73	9.1e-46	150.5		hypothetical protein
ON170115.1_13					phrog_969	VOG03439	VOG:VOG03439	83	9.9e-35	115.1		hypothetical protein
ON170115.1_14					phrog_11094	VOG36949	VOG:VOG36949	70	3.4e-46	151.8		tail tube protein
ON170115.1_15					phrog_14400	VOG36951	VOG:VOG36951	70	1.1e-45	150.2		hypothetical protein
ON170115.1_16					phrog_6333	VOG36950	VOG:VOG36950	93	8.1e-40	131.8		hypothetical protein
ON170115.1_17					phrog_13407	VOG36947	VOG:VOG36947	82	3.1e-54	177.2		gp264
ON170115.1_18					phrog_2866	VOG36946	VOG:VOG36946	109	5.1e-57	186.9		hypothetical protein
ON170115.1_19					phrog_638		PHROG:phrog_638	97	2.8e-25	85.1		transcriptional regulator
ON170119.1_1					phrog_638		PHROG:phrog_638	97	2.8e-25	85.1		transcriptional regulator
ON170119.1_2					phrog_2866	VOG36946	VOG:VOG36946	109	5.1e-57	186.9		hypothetical protein
ON170119.1_3					phrog_13407	VOG36947	VOG:VOG36947	82	3.1e-54	177.2		gp264
ON170119.1_4					phrog_6333	VOG36950	VOG:VOG36950	93	8.1e-40	131.8		hypothetical protein
ON170119.1_5					phrog_14400	VOG36951	VOG:VOG36951	70	1.1e-45	150.2		hypothetical protein
ON170119.1_6					phrog_11094	VOG36949	VOG:VOG36949	70	3.4e-46	151.8		tail tube protein
ON170119.1_7					phrog_969	VOG03439	VOG:VOG03439	83	9.9e-35	115.1		hypothetical protein
ON170119.1_8					phrog_2186	VOG36952	VOG:VOG36952	73	9.1e-46	150.5		hypothetical protein
ON170119.1_9					phrog_4544	VOG36887	VOG:VOG36887	508	3.1e-220	728.3		hypothetical protein
ON170119.1_10					phrog_974	VOG03318	VOG:VOG03318	110	6.6e-41	135.8		hypothetical protein
ON170119.1_11		K10954	COG4128		phrog_197	VOG36850	VOG:VOG36850	438	1.9e-116	385.9		Protein OPG159
ON170119.1_12												Hypothetical
ON170119.1_13					phrog_3419	VOG36945	VOG:VOG36945	312	3.6e-175	577.8		hypothetical protein
ON170119.1_14					phrog_33990		PHROG:phrog_33990	93	1e-63	207.9		hypothetical
ON170119.1_15		K21528	COG1961		phrog_125	VOG00303	PHROG:phrog_125	197	4e-71	235.2		DNA invertase
ON170119.1_16		K01875	COG0172		phrog_16140	VOG02981	PHROG:phrog_16140	439	1.5e-220	728.4		hypothetical
ON170119.1_17		K07478	COG2256		phrog_5846		COG:COG2256	390	8.4e-145	479.9		Replication-associated recombination protein RarA (DNA-dependent ATPase)
ON170119.1_18		K14059	COG4974		phrog_1	VOG00056	VOG:VOG00056	427	8.6e-40	129.0		Replication-associated protein
ON170119.1_19												Hypothetical
ON170207.1_1												Hypothetical
ON170207.1_2		K14059	COG4974		phrog_1	VOG00056	VOG:VOG00056	427	8.6e-40	129.0		Replication-associated protein
ON170207.1_3		K07478	COG2256		phrog_5846		COG:COG2256	390	8.4e-145	479.9		Replication-associated recombination protein RarA (DNA-dependent ATPase)
ON170207.1_4		K01875	COG0172		phrog_16140	VOG02981	PHROG:phrog_16140	439	1.5e-220	728.4		hypothetical
ON170207.1_5		K21528	COG1961		phrog_125	VOG00303	PHROG:phrog_125	197	4e-71	235.2		DNA invertase
ON170207.1_6					phrog_33990		PHROG:phrog_33990	93	1e-63	207.9		hypothetical
ON170207.1_7					phrog_3419	VOG36945	VOG:VOG36945	312	3.6e-175	577.8		hypothetical protein
ON170207.1_8												Hypothetical
ON170207.1_9		K10954	COG4128		phrog_197	VOG36850	VOG:VOG36850	438	1.9e-116	385.9		Protein OPG159
ON170207.1_10					phrog_974	VOG03318	VOG:VOG03318	110	6.6e-41	135.8		hypothetical protein
ON170207.1_11					phrog_4544	VOG36887	VOG:VOG36887	508	3.1e-220	728.3		hypothetical protein
ON170207.1_12					phrog_2186	VOG36952	VOG:VOG36952	73	9.1e-46	150.5		hypothetical protein
