locus_tag	FOAM	KEGG	COG	CAZy	PHROG	VOG	Best hit	length_bp	e-value	score	EC_number	product
NC_074561.1_22		K02395	COG1705	GH73	phrog_8251	VOG37037	PHROG:phrog_8251	251	2.1e-162	534.6		endolysin
NC_074561.1_23					phrog_8240	VOG37038	PHROG:phrog_8240	171	1.4e-112	369.2		pentameric base spike protein
NC_074561.1_24					phrog_9224	VOG37039	PHROG:phrog_9224	298	4.2e-172	567.2		hypothetical
NC_074561.1_25					phrog_10120	VOG37223	PHROG:phrog_10120	295	1.3e-133	440.6		hypothetical
NC_074561.1_26	K01448	K01448	COG0860		phrog_435	VOG37273	VOG:VOG37273	264	1e-104	345.7		virion structural protein
NC_055059.1_1						VOG37243	VOG:VOG37243	60	5.3e-46	150.6		tail length tape measure protein
NC_055059.1_2						VOG37246	VOG:VOG37246	80	2.5e-58	190.3		hypothetical protein
NC_055059.1_3						VOG37245	VOG:VOG37245	98	1.5e-69	226.6		hypothetical protein
NC_055059.1_4					phrog_301	VOG37247	VOG:VOG37247	137	6.6e-92	300.8		hypothetical protein
NC_055059.1_5						VOG37248	VOG:VOG37248	101	6.1e-61	199.5		hypothetical protein
NC_055059.1_6						VOG37249	VOG:VOG37249	64	1.3e-44	146.3		hypothetical protein
NC_055059.1_7						VOG37252	VOG:VOG37252	129	1.5e-85	279.8		hypothetical protein
NC_055059.1_8						VOG37251	VOG:VOG37251	84	7.5e-59	192.3		hypothetical protein
NC_055059.1_9						VOG37250	VOG:VOG37250	113	1.1e-77	253.5		hypothetical protein
NC_055059.1_10					phrog_11768	VOG37002	VOG:VOG37002	713	0.0	1391.4		hypothetical protein
NC_055059.1_11						VOG37253	VOG:VOG37253	132	2.6e-94	308.5		hypothetical protein
NC_055059.1_12		K03111	COG0629		phrog_44	VOG00906	COG:COG0629	141	4.9e-43	143.7		Single-stranded DNA-binding protein
NC_055059.1_13						VOG37254	VOG:VOG37254	127	1.4e-78	257.5		hypothetical protein
NC_055059.1_14						VOG37004	VOG:VOG37004	192	4.9e-111	364.9		hypothetical protein
NC_055059.1_15					phrog_2666	VOG01157	VOG:VOG01157	263	3.1e-67	222.7		Uncharacterized 36.7 kDa protein in nrdC-mobD intergenic region
NC_055059.1_16						VOG37255	VOG:VOG37255	46	5.4e-36	118.6		hypothetical protein
NC_055059.1_17						VOG37003	VOG:VOG37003	394	4.1e-246	812.3		tail fiber protein
NC_055059.1_18						VOG37256	VOG:VOG37256	52	1.7e-40	133.1		hypothetical protein
NC_055059.1_19						VOG37257	VOG:VOG37257	39	9.8e-32	105.1		hypothetical protein
NC_055059.1_20						VOG37258	VOG:VOG37258	117	4.8e-69	226.2		hypothetical protein
NC_055059.1_21						VOG03248	VOG:VOG03248	50	2.5e-28	93.5		hypothetical protein
NC_055059.1_22						VOG37005	VOG:VOG37005	239	3.6e-140	461.8		hypothetical protein
NC_055059.1_23						VOG37260	VOG:VOG37260	239	5.5e-164	539.5		hypothetical protein
NC_055059.1_24						VOG37259	VOG:VOG37259	57	4.4e-40	131.6		Uncharacterized protein B-129
NC_055059.1_25						VOG37007	VOG:VOG37007	223	1e-114	378.3		hypothetical protein
NC_055059.1_26						VOG37261	VOG:VOG37261	80	1.4e-54	178.3		hypothetical protein
NC_055059.1_27						VOG03248	VOG:VOG03248	50	5.5e-28	92.4		hypothetical protein
NC_055059.1_28						VOG37262	VOG:VOG37262	89	7.3e-57	186.0		hypothetical protein
NC_055059.1_29		K19304	COG0739		phrog_6700	VOG00137	COG:COG0739	227	6.2e-51	170.0		Murein DD-endopeptidase MepM and murein hydrolase activator NlpD, contains LysM domain
NC_055059.1_30						VOG37006	VOG:VOG37006	94	7.3e-46	150.3		hypothetical protein
NC_055059.1_31						VOG37264	VOG:VOG37264	199	5.3e-142	466.4		hypothetical protein
NC_055059.1_32						VOG37263	VOG:VOG37263	113	3.7e-77	251.9		Movement and RNA silencing protein VP6
NC_055059.1_33						VOG37265	VOG:VOG37265	420	2.2e-266	879.7		hypothetical protein
NC_055059.1_34					phrog_880	VOG01034	VOG:VOG01034	259	5.5e-90	298.2		Gene 41 protein
NC_055059.1_35						VOG37267	VOG:VOG37267	112	8.7e-76	247.2		hypothetical protein
NC_055059.1_36						VOG37268	VOG:VOG37268	59	5.3e-41	134.8		hypothetical protein
NC_055060.1_1						VOG37246	VOG:VOG37246	79	1.2e-57	188.1		hypothetical protein
NC_055060.1_2						VOG37245	VOG:VOG37245	98	1.6e-69	226.6		hypothetical protein
NC_055060.1_3					phrog_301	VOG37247	VOG:VOG37247	136	7.5e-91	297.4		hypothetical protein
NC_055060.1_4						VOG37248	VOG:VOG37248	119	5.3e-72	235.2		hypothetical protein
NC_055060.1_5						VOG37249	VOG:VOG37249	61	6.1e-43	140.9		hypothetical protein
NC_055060.1_6						VOG37252	VOG:VOG37252	129	3.2e-87	285.2		hypothetical protein
NC_055060.1_7						VOG37251	VOG:VOG37251	85	3.3e-59	193.5		hypothetical protein
NC_055060.1_8						VOG37250	VOG:VOG37250	108	1.9e-73	239.8		hypothetical protein
NC_055060.1_9					phrog_11768	VOG37002	VOG:VOG37002	716	0.0	1320.1		hypothetical protein
NC_055060.1_10						VOG37253	VOG:VOG37253	132	2.8e-94	308.4		hypothetical protein
NC_055060.1_11		K03111	COG0629		phrog_44	VOG00906	COG:COG0629	141	4.9e-44	147.0		Single-stranded DNA-binding protein
NC_055060.1_12						VOG37254	VOG:VOG37254	126	1.2e-76	251.2		hypothetical protein
NC_055060.1_13						VOG37004	VOG:VOG37004	192	1.3e-115	379.9		hypothetical protein
NC_055060.1_14					phrog_2666	VOG01157	VOG:VOG01157	262	2.9e-66	219.4		Uncharacterized 36.7 kDa protein in nrdC-mobD intergenic region
NC_055060.1_15						VOG37255	VOG:VOG37255	46	4.1e-36	119.0		hypothetical protein
NC_055060.1_16						VOG37003	VOG:VOG37003	394	4.3e-249	822.1		tail fiber protein
NC_055060.1_17						VOG37256	VOG:VOG37256	52	1.9e-40	132.9		hypothetical protein
NC_055060.1_18						VOG37257	VOG:VOG37257	39	9.8e-32	105.1		hypothetical protein
NC_055060.1_19						VOG37258	VOG:VOG37258	112	5.7e-65	213.0		hypothetical protein
NC_055060.1_20						VOG03248	VOG:VOG03248	50	2.5e-28	93.5		hypothetical protein
NC_055060.1_21						VOG37005	VOG:VOG37005	238	2.3e-130	429.7		hypothetical protein
NC_055060.1_22						VOG37260	VOG:VOG37260	239	1.9e-163	537.7		hypothetical protein
NC_055060.1_23						VOG37259	VOG:VOG37259	63	3.1e-44	144.9		Uncharacterized protein B-129
NC_055060.1_24						VOG37007	VOG:VOG37007	223	4.1e-118	389.4		hypothetical protein
NC_055060.1_25						VOG37261	VOG:VOG37261	80	1.4e-54	178.2		hypothetical protein
NC_055060.1_26						VOG37262	VOG:VOG37262	88	1.3e-55	182.0		hypothetical protein
NC_055060.1_27		K19304	COG0739		phrog_6700	VOG00137	COG:COG0739	227	2.1e-50	168.2		Murein DD-endopeptidase MepM and murein hydrolase activator NlpD, contains LysM domain
NC_055060.1_28						VOG37006	VOG:VOG37006	94	5.2e-49	160.3		hypothetical protein
NC_055060.1_29						VOG37264	VOG:VOG37264	199	2.6e-142	467.4		hypothetical protein
NC_055060.1_30						VOG37263	VOG:VOG37263	114	2.3e-77	252.5		Movement and RNA silencing protein VP6
NC_055060.1_31						VOG37265	VOG:VOG37265	417	7.1e-268	884.7		hypothetical protein
NC_055060.1_32					phrog_880	VOG01034	VOG:VOG01034	262	2.1e-101	335.8		Gene 41 protein
NC_055060.1_33						VOG37267	VOG:VOG37267	112	7.9e-76	247.4		hypothetical protein
NC_055060.1_34						VOG37268	VOG:VOG37268	68	1.9e-39	129.8		hypothetical protein
NC_055061.1_1												Hypothetical
NC_055061.1_2												Hypothetical
NC_055061.1_3												Hypothetical
NC_055061.1_4												Hypothetical
NC_055061.1_5					phrog_11768	VOG37002	VOG:VOG37002	586	0.0	1112.7		hypothetical protein
NC_055061.1_6												Hypothetical
NC_055061.1_7												Hypothetical
NC_055061.1_8												Hypothetical
NC_055061.1_9						VOG37004	VOG:VOG37004	164	3.7e-85	280.5		hypothetical protein
NC_055061.1_10					phrog_2666	VOG01157	VOG:VOG01157	251	2.6e-73	242.6		Uncharacterized 36.7 kDa protein in nrdC-mobD intergenic region
NC_055061.1_11						VOG37003	VOG:VOG37003	381	1.2e-235	777.8		tail fiber protein
NC_055061.1_12												Hypothetical
NC_055061.1_13												Hypothetical
NC_055061.1_14												Hypothetical
NC_055061.1_15						VOG37005	VOG:VOG37005	225	9.3e-122	401.5		hypothetical protein
NC_055061.1_16			COG1652				COG:COG1652	329	2.4e-18	62.2		Cytoplasmic potassium-binding protein Kbp/XkdP/YgaU, contains LysM domain
NC_055061.1_17												Hypothetical
NC_055061.1_18												Hypothetical
NC_055061.1_19						VOG37007	VOG:VOG37007	220	4e-125	412.4		hypothetical protein
NC_055061.1_20												Hypothetical
NC_055061.1_21												Hypothetical
NC_055061.1_22		K21471	COG0791		phrog_2810		COG:COG0791	220	1.2e-43	146.4		Cell wall-associated hydrolase, NlpC_P60 family
NC_055061.1_23						VOG37006	VOG:VOG37006	96	1.8e-51	168.2		hypothetical protein
NC_055061.1_24												Hypothetical
NC_055061.1_25												Hypothetical
NC_055061.1_26					phrog_4978		PHROG:phrog_4978	412	6.6e-105	348.2		tail protein
NC_055061.1_27					phrog_1512	VOG31896	PHROG:phrog_1512	228	2.7e-88	292.5		endolysin
NC_055061.1_28												Hypothetical
NC_055061.1_29												Hypothetical
NC_055061.1_30												Hypothetical
NC_042083.1_1												Hypothetical
NC_042083.1_2					phrog_1907	VOG00710	PHROG:phrog_1907	562	4.3e-105	348.1		DNA polymerase
NC_042083.1_3												Hypothetical
NC_042083.1_4												Hypothetical
NC_042083.1_5												Hypothetical
NC_042083.1_6												Hypothetical
NC_042083.1_7					phrog_14814	VOG37084	PHROG:phrog_14814	172	4.2e-21	71.7		hypothetical
NC_042083.1_8					phrog_2666	VOG01157	VOG:VOG01157	226	4.4e-58	192.8		Uncharacterized 36.7 kDa protein in nrdC-mobD intergenic region
NC_042083.1_9												Hypothetical
NC_042083.1_10												Hypothetical
NC_042083.1_11					phrog_5863	VOG06972	VOG:VOG06972	400	4.7e-170	561.7		hypothetical protein
NC_042083.1_12												Hypothetical
NC_042083.1_13					phrog_14462	VOG36854	VOG:VOG36854	88	5e-48	157.8		hypothetical protein
NC_042083.1_14					phrog_8052	VOG03248	PHROG:phrog_8052	56	4.2e-29	96.2		membrane DNA delivery
NC_042083.1_15					phrog_8052	VOG03248	PHROG:phrog_8052	72	1.4e-29	97.3		membrane DNA delivery
NC_042083.1_16												Hypothetical
NC_042083.1_17												Hypothetical
NC_042083.1_18												Hypothetical
NC_042083.1_19												Hypothetical
NC_042083.1_20					phrog_873		PHROG:phrog_873	136	3.2e-46	154.1		endolysin
NC_042083.1_21												Hypothetical
NC_042083.1_22												Hypothetical
NC_042083.1_23												Hypothetical
NC_042083.1_24												Hypothetical
NC_042083.1_25												Hypothetical
NC_042083.1_26												Hypothetical
NC_042083.1_27												Hypothetical
NC_042083.1_28												Hypothetical
NC_042083.1_29												Hypothetical
NC_042083.1_30												Hypothetical
NC_042083.1_31												Hypothetical
NC_042083.1_32												Hypothetical
NC_022094.1_1					phrog_22151		PHROG:phrog_22151	58	1.6e-37	123.9		hypothetical
NC_022094.1_2					phrog_24295		PHROG:phrog_24295	197	4.7e-123	404.1		hypothetical
NC_022094.1_3					phrog_1456		PHROG:phrog_1456	113	4.4e-28	94.4		DNA binding protein
NC_022094.1_4					phrog_22355		PHROG:phrog_22355	92	5.9e-54	176.1		hypothetical
NC_022094.1_5						VOG37270	VOG:VOG37270	68	3.2e-42	138.8		gp37
NC_022094.1_6					phrog_8764	VOG37056	VOG:VOG37056	117	6.7e-64	209.5		kinase
NC_022094.1_7					phrog_9100	VOG37029	VOG:VOG37029	84	9.9e-46	150.2		hypothetical protein
NC_022094.1_8					phrog_2666	VOG01157	PHROG:phrog_2666	213	2.2e-73	242.9		terminase large subunit
NC_022094.1_9					phrog_8056	VOG37030	VOG:VOG37030	47	4.2e-33	109.3		hypothetical protein
NC_022094.1_10					phrog_7771	VOG37031	VOG:VOG37031	48	6.1e-32	105.4		hypothetical protein
NC_022094.1_11					phrog_5863	VOG06972	PHROG:phrog_5863	354	5.6e-171	564.3		minor head protein
NC_022094.1_12					phrog_8076	VOG37032	VOG:VOG37032	75	4.8e-46	151.0		hypothetical protein
NC_022094.1_13					phrog_4898	VOG00675	VOG:VOG00675	60	2.2e-24	81.6		Uncharacterized HNH endonuclease L245
NC_022094.1_14					phrog_34580	VOG37033	PHROG:phrog_34580	158	1.2e-101	333.9		hypothetical
NC_022094.1_15					phrog_15071	VOG37034	VOG:VOG37034	59	1.6e-37	123.8		hypothetical protein
NC_022094.1_16					phrog_13072	VOG37035	VOG:VOG37035	49	8.6e-33	108.4		hypothetical protein
NC_022094.1_17					phrog_7846	VOG37036	VOG:VOG37036	92	8.3e-53	172.7		hypothetical protein
NC_022094.1_18					phrog_33507	VOG37271	VOG:VOG37271	214	5.3e-139	457.1		hypothetical protein
NC_022094.1_19		K02395	COG1705	GH73	phrog_8251	VOG37037	VOG:VOG37037	219	5.3e-132	435.0		hypothetical protein
NC_022094.1_20					phrog_8240	VOG37038	VOG:VOG37038	176	3.8e-112	367.9		hypothetical protein
NC_022094.1_21					phrog_9224	VOG37039	VOG:VOG37039	292	3.5e-151	498.5		hypothetical protein
NC_022094.1_22												Hypothetical
NC_022094.1_23					phrog_3321	VOG03658	PHROG:phrog_3321	119	3.3e-39	130.0		rhodanese-related sulfurtransferase
NC_022094.1_24					phrog_29872	VOG37272	VOG:VOG37272	49	8.2e-37	121.0		hypothetical protein
NC_022094.1_25		K17733			phrog_5115		PHROG:phrog_5115	214	1.3e-45	151.7		ferredoxin
NC_022094.1_26					phrog_20414		PHROG:phrog_20414	899	0.0	2011.7		DNA polymerase
NC_011523.1_1												Hypothetical
NC_011523.1_2					phrog_6243	VOG02756	PHROG:phrog_6243	181	2.3e-69	228.4		single strand DNA binding protein
NC_011523.1_3					phrog_9076	VOG37026	VOG:VOG37026	75	1.4e-45	149.9		hypothetical protein
NC_011523.1_4					phrog_8330	VOG37028	VOG:VOG37028	234	5.5e-131	432.0		tail fiber protein
NC_011523.1_5		K21237			phrog_1907	VOG00710	PHROG:phrog_1907	732	9.3e-149	493.1		DNA polymerase
NC_011523.1_6					phrog_3502		PHROG:phrog_3502	68	1e-22	76.7		hypothetical
NC_011523.1_7					phrog_9714	VOG37221	VOG:VOG37221	46	7.9e-30	98.8		hypothetical protein
NC_011523.1_8												Hypothetical
NC_011523.1_9						VOG37270	VOG:VOG37270	58	5.3e-37	122.1		gp37
NC_011523.1_10					phrog_8764	VOG37056	VOG:VOG37056	115	3.8e-59	194.1		kinase
NC_011523.1_11					phrog_14882	VOG37027	VOG:VOG37027	185	1.3e-106	351.6		hypothetical protein
NC_011523.1_12					phrog_2666	VOG01157	PHROG:phrog_2666	213	4e-73	242.0		terminase large subunit
NC_011523.1_13					phrog_7771	VOG37031	VOG:VOG37031	48	9.2e-34	111.3		hypothetical protein
NC_011523.1_14					phrog_5863	VOG06972	PHROG:phrog_5863	355	1.6e-171	566.1		minor head protein
NC_011523.1_15					phrog_8076	VOG37032	VOG:VOG37032	75	2.5e-46	151.9		hypothetical protein
NC_011523.1_16					phrog_4898	VOG00675	PHROG:phrog_4898	57	8.9e-21	69.9		holin
NC_011523.1_17					phrog_34580	VOG37033	PHROG:phrog_34580	158	3.6e-102	335.6		hypothetical
NC_011523.1_18					phrog_15071	VOG37034	VOG:VOG37034	59	1.6e-37	123.8		hypothetical protein
NC_011523.1_19					phrog_13072	VOG37035	VOG:VOG37035	49	2.6e-33	110.1		hypothetical protein
NC_011523.1_20					phrog_7846	VOG37036	VOG:VOG37036	92	3.1e-52	170.9		hypothetical protein
NC_011523.1_21					phrog_33507	VOG37271	VOG:VOG37271	211	3.1e-144	474.2		hypothetical protein
NC_011523.1_22		K02395	COG1705	GH73	phrog_8251	VOG37037	VOG:VOG37037	219	8.7e-143	470.3		hypothetical protein
NC_011523.1_23					phrog_8240	VOG37038	VOG:VOG37038	176	5.9e-112	367.3		hypothetical protein
NC_011523.1_24					phrog_9224	VOG37039	VOG:VOG37039	305	3.3e-173	570.9		hypothetical protein
NC_011523.1_25												Hypothetical
NC_011523.1_26					phrog_3321	VOG03658	PHROG:phrog_3321	119	2.2e-38	127.4		rhodanese-related sulfurtransferase
NC_011523.1_27					phrog_29872	VOG37272	PHROG:phrog_29872	50	1.8e-38	126.3		hypothetical
NC_011523.1_28	K01448	K01448	COG0860		phrog_435	VOG37273	VOG:VOG37273	253	8.5e-155	510.2		virion structural protein
NC_007451.1_1					phrog_15886	VOG37077	VOG:VOG37077	260	1.7e-183	603.7		hypothetical protein
NC_007451.1_2			COG0417		phrog_1907	VOG00710	PHROG:phrog_1907	554	4e-124	411.9		DNA polymerase
NC_007451.1_3					phrog_2860	VOG02356	PHROG:phrog_2860	150	5.4e-36	118.0		endolysin
NC_007451.1_4					phrog_16118	VOG37078	VOG:VOG37078	597	0.0	1345.3		hypothetical protein
NC_007451.1_5					phrog_15879	VOG37079	PHROG:phrog_15879	127	6.6e-85	277.6		hypothetical
NC_007451.1_6					phrog_15674	VOG37079	PHROG:phrog_15674	341	3.4e-224	739.2		major spike protein
NC_007451.1_7					phrog_15795	VOG37080	VOG:VOG37080	87	1.1e-62	204.4		hypothetical protein
NC_007451.1_8					phrog_14809	VOG37081	VOG:VOG37081	69	2e-49	161.7		hypothetical protein
NC_007451.1_9					phrog_15059	VOG37082	VOG:VOG37082	167	3.6e-106	348.4		hypothetical protein
NC_007451.1_10					phrog_14814	VOG37084	VOG:VOG37084	108	2.2e-71	235.9		hypothetical protein
NC_007451.1_11					phrog_2666	VOG01157	VOG:VOG01157	228	1.1e-63	211.1		Uncharacterized 36.7 kDa protein in nrdC-mobD intergenic region
NC_007451.1_12					phrog_15703	VOG37083	VOG:VOG37083	43	5e-34	111.9		hypothetical protein
NC_007451.1_13					phrog_16195	VOG37086	VOG:VOG37086	43	1.1e-35	117.2		Cysteine dioxygenase
NC_007451.1_14					phrog_5863	VOG06972	VOG:VOG06972	396	8.9e-177	583.8		hypothetical protein
NC_007451.1_15					phrog_15626	VOG37085	PHROG:phrog_15626	48	1.1e-38	127.0		hypothetical
NC_007451.1_16					phrog_14462	VOG36854	PHROG:phrog_14462	91	7.9e-53	173.2		hypothetical
NC_007451.1_17					phrog_8052	VOG03248	PHROG:phrog_8052	55	6.6e-34	111.6		membrane DNA delivery
NC_007451.1_18					phrog_8052	VOG03248	PHROG:phrog_8052	69	1.3e-33	110.5		membrane DNA delivery
NC_007451.1_19					phrog_15441	VOG37089	VOG:VOG37089	85	4.5e-61	199.1		hypothetical protein
NC_007451.1_20					phrog_16567	VOG37091	VOG:VOG37091	208	2.3e-143	471.1		hypothetical protein
NC_007451.1_21					phrog_15637	VOG37092	VOG:VOG37092	118	1.1e-82	270.2		hypothetical protein
NC_007451.1_22		K08309	COG0741	GH23	phrog_13449	VOG37093	VOG:VOG37093	270	2e-183	604.1		hypothetical protein
NC_007451.1_23					phrog_785	VOG00193	PHROG:phrog_785	118	5.4e-31	102.8		holin
NC_007451.1_24						VOG37094	VOG:VOG37094	121	5.8e-82	267.8		hypothetical protein
NC_007451.1_25					phrog_15890	VOG37095	VOG:VOG37095	95	3.1e-67	219.1		Protein Ku
NC_007451.1_26					phrog_14847	VOG37096	VOG:VOG37096	160	1.1e-107	353.2		hypothetical protein
NC_007451.1_27												Hypothetical
NC_006945.1_1_1												Hypothetical
NC_006945.1_1_2					phrog_6243	VOG02756	PHROG:phrog_6243	167	1e-71	236.0		single strand DNA binding protein
NC_006945.1_1_3					phrog_9076	VOG37026	VOG:VOG37026	75	1.2e-45	150.1		hypothetical protein
NC_006945.1_1_4					phrog_8330	VOG37028	VOG:VOG37028	246	1.9e-132	436.8		tail fiber protein
NC_006945.1_1_5												Hypothetical
NC_006945.1_2_1												Hypothetical
NC_006945.1_4_1		K21237			phrog_1907	VOG00710	PHROG:phrog_1907	640	7.5e-141	467.1		DNA polymerase
NC_006945.1_4_2					phrog_3502		PHROG:phrog_3502	67	1.4e-24	82.7		hypothetical
NC_006945.1_4_3												Hypothetical
NC_006945.1_4_4					phrog_19626		PHROG:phrog_19626	85	4.3e-60	196.1		hypothetical
NC_006945.1_4_5					phrog_8764	VOG37056	PHROG:phrog_8764	123	1e-63	209.2		virion structural protein
NC_006945.1_4_6					phrog_9100	VOG37029	PHROG:phrog_9100	81	1.3e-52	172.3		hypothetical
NC_006945.1_4_7					phrog_29621	VOG37220	VOG:VOG37220	103	1.5e-69	226.9		hypothetical protein
NC_006945.1_4_8					phrog_2666	VOG01157	PHROG:phrog_2666	213	2.6e-78	259.0		terminase large subunit
NC_006945.1_4_9					phrog_8056	VOG37030	PHROG:phrog_8056	47	1.3e-33	110.8		hypothetical
NC_006945.1_4_10					phrog_7771	VOG37031	PHROG:phrog_7771	47	9.3e-34	111.3		hypothetical
NC_006945.1_4_11					phrog_9939	VOG37222	PHROG:phrog_9939	90	3.5e-57	187.0		hypothetical
NC_006945.1_4_12					phrog_5863	VOG06972	PHROG:phrog_5863	357	5.4e-194	640.0		minor head protein
NC_006945.1_4_13					phrog_8076	VOG37032	PHROG:phrog_8076	77	1.6e-47	155.9		hypothetical
NC_006945.1_4_14					phrog_4898	VOG00675	PHROG:phrog_4898	53	1.1e-27	92.1		holin
NC_006945.1_4_15					phrog_9080	VOG37033	PHROG:phrog_9080	144	2.4e-93	306.0		hypothetical
NC_006945.1_4_16					phrog_15071	VOG37034	VOG:VOG37034	59	8.6e-37	121.4		hypothetical protein
NC_006945.1_4_17					phrog_13072	VOG37035	PHROG:phrog_13072	49	8.6e-35	114.6		hypothetical
NC_006945.1_4_18					phrog_7846	VOG37036	PHROG:phrog_7846	92	9.3e-51	166.3		hypothetical
NC_006945.1_4_19					phrog_8814	VOG37224	VOG:VOG37224	205	6.8e-144	472.8		hypothetical protein
NC_006945.1_4_20		K02395	COG1705	GH73	phrog_8251	VOG37037	PHROG:phrog_8251	251	6.4e-165	542.8		endolysin
NC_006945.1_4_21					phrog_8240	VOG37038	PHROG:phrog_8240	171	9.8e-113	369.7		pentameric base spike protein
NC_006945.1_4_22					phrog_9224	VOG37039	PHROG:phrog_9224	298	5.8e-181	596.3		hypothetical
NC_006945.1_4_23					phrog_10120	VOG37223	VOG:VOG37223	294	1.4e-209	690.0		hypothetical protein
