gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
u2636471ctg_len-20881_circular-yes_depth-28-18-7_mult-1.00_5	1643	1978	336	-1	0.586	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
u2636471ctg_len-20881_circular-yes_depth-28-18-7_mult-1.00_6	1982	3214	1233	-1	0.583	11	GGAG/GAGG	GENOMAD.224344.VP	2.708e-137	441	0	0	0	16022	Hukuchivirus P2377	NA	NA	NA	NA
u2636471ctg_len-20881_circular-yes_depth-28-18-7_mult-1.00_7	3228	3461	234	-1	0.684	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
u2636471ctg_len-20881_circular-yes_depth-28-18-7_mult-1.00_8	3439	3765	327	-1	0.618	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
u2636471ctg_len-20881_circular-yes_depth-28-18-7_mult-1.00_9	3741	3899	159	-1	0.616	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
u2636471ctg_len-20881_circular-yes_depth-28-18-7_mult-1.00_10	3859	4131	273	-1	0.593	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
u2636471ctg_len-20881_circular-yes_depth-28-18-7_mult-1.00_11	4165	4383	219	-1	0.644	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
u2636471ctg_len-20881_circular-yes_depth-28-18-7_mult-1.00_12	4376	4576	201	-1	0.498	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
u2636471ctg_len-20881_circular-yes_depth-28-18-7_mult-1.00_13	4646	5323	678	1	0.577	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
u2636471ctg_len-20881_circular-yes_depth-28-18-7_mult-1.00_14	5367	6446	1080	1	0.474	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
u2636471ctg_len-20881_circular-yes_depth-28-18-7_mult-1.00_15	6452	7576	1125	1	0.597	11	AGGAG/GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
u2636471ctg_len-20881_circular-yes_depth-28-18-7_mult-1.00_16	7783	8502	720	-1	0.650	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
u2636471ctg_len-20881_circular-yes_depth-28-18-7_mult-1.00_17	8480	8743	264	-1	0.636	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
u2636471ctg_len-20881_circular-yes_depth-28-18-7_mult-1.00_18	8743	9798	1056	-1	0.594	11	AGGAGG	GENOMAD.033984.VV	3.364e-15	80	0	0	0	2156	Autographiviridae	NA	NA	NA	NA
u2636471ctg_len-20881_circular-yes_depth-28-18-7_mult-1.00_19	9809	10894	1086	-1	0.621	11	None	GENOMAD.107709.VV	9.676e-171	535	0	0	0	14168	Hukuchivirus	NA	NA	NA	NA
u2636471ctg_len-20881_circular-yes_depth-28-18-7_mult-1.00_20	10905	11345	441	-1	0.667	11	AGGAGG	GENOMAD.199413.VV	4.03e-58	198	0	0	0	16022	Hukuchivirus P2377	NA	NA	NA	NA
u2636471ctg_len-20881_circular-yes_depth-28-18-7_mult-1.00_21	11324	11521	198	-1	0.621	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
u2636471ctg_len-20881_circular-yes_depth-28-18-7_mult-1.00_22	11502	11633	132	-1	0.598	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
u2636471ctg_len-20881_circular-yes_depth-28-18-7_mult-1.00_23	11630	12052	423	-1	0.591	11	GGA/GAG/AGG	GENOMAD.227388.VP	1.878e-63	213	0	0	0	1	NA	NA	NA	NA	NA
u2636471ctg_len-20881_circular-yes_depth-28-18-7_mult-1.00_24	12062	12568	507	-1	0.600	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
u2636471ctg_len-20881_circular-yes_depth-28-18-7_mult-1.00_25	12565	12843	279	-1	0.656	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
u2636471ctg_len-20881_circular-yes_depth-28-18-7_mult-1.00_26	12833	13024	192	-1	0.542	11	AGxAGG/AGGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
u2636471ctg_len-20881_circular-yes_depth-28-18-7_mult-1.00_27	13024	13665	642	-1	0.615	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
u2636471ctg_len-20881_circular-yes_depth-28-18-7_mult-1.00_28	13652	13993	342	-1	0.658	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
u2636471ctg_len-20881_circular-yes_depth-28-18-7_mult-1.00_29	13995	14333	339	-1	0.649	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
u2636471ctg_len-20881_circular-yes_depth-28-18-7_mult-1.00_30	14348	15223	876	-1	0.661	11	AGGAGG	GENOMAD.175220.VV	3.137e-45	168	0	0	0	16022	Hukuchivirus P2377	NA	NA	PF22210	Large MCP VP17 central beta-barrel
u2636471ctg_len-20881_circular-yes_depth-28-18-7_mult-1.00_31	15236	15745	510	-1	0.643	11	AGGAGG	GENOMAD.173120.VV	2.064e-76	252	0	0	1	16022	Hukuchivirus P2377	NA	NA	PF22024	Major capsid protein VP16-like
u2636471ctg_len-20881_circular-yes_depth-28-18-7_mult-1.00_32	15761	16177	417	-1	0.604	11	AGGAGG	GENOMAD.226936.VP	5.2e-68	226	0	0	0	16022	Hukuchivirus P2377	NA	NA	NA	NA
u2636471ctg_len-20881_circular-yes_depth-28-18-7_mult-1.00_33	16326	17000	675	-1	0.649	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
u2636471ctg_len-20881_circular-yes_depth-28-18-7_mult-1.00_34	16990	17412	423	-1	0.463	11	4Base/6BMM	GENOMAD.168457.PC	0.0006482	41	0	0	0	1	NA	NA	NA	PF10130;K07063;TIGR00305;COG2402	putative toxin-antitoxin system toxin component, PIN family
u2636471ctg_len-20881_circular-yes_depth-28-18-7_mult-1.00_35	17396	17605	210	-1	0.424	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
u2636471ctg_len-20881_circular-yes_depth-28-18-7_mult-1.00_36	17620	17814	195	-1	0.641	11	AGGAGG	GENOMAD.187456.VV	6.09e-31	115	0	0	0	16022	Hukuchivirus P2377	NA	NA	NA	NA
u2636471ctg_len-20881_circular-yes_depth-28-18-7_mult-1.00_37	17811	18407	597	-1	0.630	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
u2636471ctg_len-20881_circular-yes_depth-28-18-7_mult-1.00_38	18475	18657	183	1	0.672	11	AGxAGG/AGGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
u2636471ctg_len-20881_circular-yes_depth-28-18-7_mult-1.00_39	18779	19174	396	-1	0.629	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
u2636471ctg_len-20881_circular-yes_depth-28-18-7_mult-1.00_40	19245	19613	369	-1	0.686	11	GGAG/GAGG	GENOMAD.201346.VV	1.291e-42	152	0	0	0	16022	Hukuchivirus P2377	NA	NA	NA	NA
u2636471ctg_len-20881_circular-yes_depth-28-18-7_mult-1.00_41	19655	20167	513	1	0.663	11	None	GENOMAD.190201.PC	1.207e-21	94	0	0	0	1	NA	NA	NA	PF04552;K07499;COG3415	Transposase
u2636471ctg_len-20881_circular-yes_depth-28-18-7_mult-1.00_42	20167	20724	558	1	0.631	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
u1119167ctg_len-33588_circular-yes_depth-28-10-8_mult-1.00_1	2	847	846	-1	0.571	11	None	GENOMAD.190509.VP	2.462e-44	165	0	0	1	1246	Caudoviricetes	NA	NA	PF03354;COG4626	Phage terminase-like protein, large subunit, contains N-terminal HTH domain
u1119167ctg_len-33588_circular-yes_depth-28-10-8_mult-1.00_2	1128	1496	369	-1	0.537	11	AGGAG	GENOMAD.064869.VV	8.965e-14	69	0	0	0	1	NA	NA	NA	NA	NA
u1119167ctg_len-33588_circular-yes_depth-28-10-8_mult-1.00_3	1496	1801	306	-1	0.546	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
u1119167ctg_len-33588_circular-yes_depth-28-10-8_mult-1.00_4	1803	2273	471	-1	0.577	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
u1119167ctg_len-33588_circular-yes_depth-28-10-8_mult-1.00_5	2273	2725	453	-1	0.547	11	AGGAG	GENOMAD.020060.VV	1.789e-17	81	0	0	0	1	NA	NA	NA	NA	NA
u1119167ctg_len-33588_circular-yes_depth-28-10-8_mult-1.00_6	2735	3523	789	-1	0.471	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
u1119167ctg_len-33588_circular-yes_depth-28-10-8_mult-1.00_7	3523	3942	420	-1	0.469	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
u1119167ctg_len-33588_circular-yes_depth-28-10-8_mult-1.00_8	3946	4410	465	-1	0.574	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
u1119167ctg_len-33588_circular-yes_depth-28-10-8_mult-1.00_9	4403	4831	429	-1	0.559	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
u1119167ctg_len-33588_circular-yes_depth-28-10-8_mult-1.00_10	4833	4988	156	-1	0.519	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
u1119167ctg_len-33588_circular-yes_depth-28-10-8_mult-1.00_11	4985	5185	201	-1	0.502	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
u1119167ctg_len-33588_circular-yes_depth-28-10-8_mult-1.00_12	5166	5483	318	-1	0.544	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
u1119167ctg_len-33588_circular-yes_depth-28-10-8_mult-1.00_13	5498	5686	189	-1	0.534	11	GGA/GAG/AGG	GENOMAD.107693.VV	4.37e-05	41	0	0	0	1	NA	NA	NA	NA	NA
u1119167ctg_len-33588_circular-yes_depth-28-10-8_mult-1.00_14	5683	5859	177	-1	0.599	11	AGGAG	GENOMAD.148525.VP	4.861e-09	52	0	0	0	1246	Caudoviricetes	NA	NA	NA	NA
u1119167ctg_len-33588_circular-yes_depth-28-10-8_mult-1.00_15	5852	6226	375	-1	0.555	11	AGGAG	GENOMAD.207300.VP	0.0004302	41	0	0	0	1246	Caudoviricetes	NA	NA	PF00565	Staphylococcal nuclease homologue
u1119167ctg_len-33588_circular-yes_depth-28-10-8_mult-1.00_16	6223	6444	222	-1	0.500	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
u1119167ctg_len-33588_circular-yes_depth-28-10-8_mult-1.00_17	6441	7280	840	-1	0.575	11	GGA/GAG/AGG	GENOMAD.102697.VV	1.192e-15	80	0	0	0	1	NA	NA	NA	NA	NA
u1119167ctg_len-33588_circular-yes_depth-28-10-8_mult-1.00_18	7270	7836	567	-1	0.668	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
u1119167ctg_len-33588_circular-yes_depth-28-10-8_mult-1.00_19	7882	8310	429	-1	0.639	11	GGAGG	GENOMAD.021887.VV	4.744e-11	62	0	0	0	1246	Caudoviricetes	NA	NA	PF05866;COG4570	Endodeoxyribonuclease RusA
u1119167ctg_len-33588_circular-yes_depth-28-10-8_mult-1.00_20	8329	8535	207	-1	0.517	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
u1119167ctg_len-33588_circular-yes_depth-28-10-8_mult-1.00_21	8532	9140	609	-1	0.627	11	GGAGG	GENOMAD.087774.VV	5.064e-12	67	0	0	0	1246	Caudoviricetes	NA	NA	PF11417	Loader and inhibitor of phage G40P
u1119167ctg_len-33588_circular-yes_depth-28-10-8_mult-1.00_22	9153	9422	270	-1	0.493	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
u1119167ctg_len-33588_circular-yes_depth-28-10-8_mult-1.00_23	9444	10592	1149	-1	0.566	11	AGGA	GENOMAD.084756.VV	6.301e-18	89	0	0	1	1246	Caudoviricetes	NA	NA	PF09681;TIGR01714	N-terminal phage replisome organiser (Phage_rep_org_N)
u1119167ctg_len-33588_circular-yes_depth-28-10-8_mult-1.00_24	10886	11773	888	-1	0.554	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
u1119167ctg_len-33588_circular-yes_depth-28-10-8_mult-1.00_25	11770	11946	177	-1	0.588	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
u1119167ctg_len-33588_circular-yes_depth-28-10-8_mult-1.00_26	11943	12203	261	-1	0.586	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
u1119167ctg_len-33588_circular-yes_depth-28-10-8_mult-1.00_27	12205	12546	342	-1	0.602	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
u1119167ctg_len-33588_circular-yes_depth-28-10-8_mult-1.00_28	12548	12823	276	-1	0.543	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
u1119167ctg_len-33588_circular-yes_depth-28-10-8_mult-1.00_29	12844	13068	225	-1	0.547	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
u1119167ctg_len-33588_circular-yes_depth-28-10-8_mult-1.00_30	13821	14723	903	-1	0.551	11	AGGA	GENOMAD.138239.VP	2.97e-37	145	0	0	0	1246	Caudoviricetes	NA	NA	NA	NA
u1119167ctg_len-33588_circular-yes_depth-28-10-8_mult-1.00_31	14748	15476	729	-1	0.584	11	AGGAG	GENOMAD.151686.VP	1.519e-42	158	0	0	0	1246	Caudoviricetes	NA	NA	PF03837;TIGR01913	phage recombination protein Bet
u1119167ctg_len-33588_circular-yes_depth-28-10-8_mult-1.00_32	15478	16329	852	-1	0.647	11	GGAGG	GENOMAD.086298.VV	0.0004537	44	0	0	1	1246	Caudoviricetes	NA	NA	PF09588;COG5377;TIGR03033	Phage-related protein, predicted endonuclease
u1119167ctg_len-33588_circular-yes_depth-28-10-8_mult-1.00_33	16298	16807	510	-1	0.643	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
u1119167ctg_len-33588_circular-yes_depth-28-10-8_mult-1.00_34	16871	17497	627	-1	0.662	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
u1119167ctg_len-33588_circular-yes_depth-28-10-8_mult-1.00_35	17494	17607	114	-1	0.719	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
u1119167ctg_len-33588_circular-yes_depth-28-10-8_mult-1.00_36	17604	17696	93	-1	0.667	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
u1119167ctg_len-33588_circular-yes_depth-28-10-8_mult-1.00_37	17699	18037	339	-1	0.608	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
u1119167ctg_len-33588_circular-yes_depth-28-10-8_mult-1.00_38	18034	18519	486	-1	0.652	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
u1119167ctg_len-33588_circular-yes_depth-28-10-8_mult-1.00_39	18516	18863	348	-1	0.678	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
u1119167ctg_len-33588_circular-yes_depth-28-10-8_mult-1.00_40	18867	19349	483	-1	0.617	11	GGAGG	GENOMAD.222865.VP	4.619e-05	45	0	0	0	1246	Caudoviricetes	NA	NA	NA	NA
u1119167ctg_len-33588_circular-yes_depth-28-10-8_mult-1.00_41	19453	20007	555	-1	0.677	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
u1119167ctg_len-33588_circular-yes_depth-28-10-8_mult-1.00_42	20053	20721	669	-1	0.652	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
u1119167ctg_len-33588_circular-yes_depth-28-10-8_mult-1.00_43	20708	21292	585	-1	0.685	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
u1119167ctg_len-33588_circular-yes_depth-28-10-8_mult-1.00_44	21357	21617	261	1	0.613	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
u1119167ctg_len-33588_circular-yes_depth-28-10-8_mult-1.00_45	22499	23131	633	-1	0.556	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
u1119167ctg_len-33588_circular-yes_depth-28-10-8_mult-1.00_46	23133	23792	660	-1	0.548	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
u1119167ctg_len-33588_circular-yes_depth-28-10-8_mult-1.00_47	23789	24700	912	-1	0.542	11	GGA/GAG/AGG	GENOMAD.065066.VV	1.003e-08	59	0	0	0	1	NA	NA	NA	NA	NA
u1119167ctg_len-33588_circular-yes_depth-28-10-8_mult-1.00_48	24702	26129	1428	-1	0.595	11	GGAG/GAGG	GENOMAD.126970.VP	4.951e-21	100	0	0	0	1246	Caudoviricetes	NA	NA	NA	NA
u1119167ctg_len-33588_circular-yes_depth-28-10-8_mult-1.00_49	26113	26355	243	-1	0.531	11	GGA/GAG/AGG	GENOMAD.159475.VP	1.077e-10	58	0	0	1	1246	Caudoviricetes	NA	NA	PF06223;TIGR01715	Minor tail protein T
u1119167ctg_len-33588_circular-yes_depth-28-10-8_mult-1.00_50	26400	26753	354	-1	0.554	11	None	GENOMAD.020262.VV	2.047e-19	85	0	0	1	1246	Caudoviricetes	NA	NA	PF16462	Phage tail assembly chaperone protein, TAC
