Description	Count	Contig
Defensefinder	0	u1824271ctg_len-43451_circular-yes_depth-14-7-2_mult-1.00
Netflax	0	u1824271ctg_len-43451_circular-yes_depth-14-7-2_mult-1.00
CDS	20	u2269352ctg_len-12950_circular-yes_depth-13-8-1_mult-1.00
connector	0	u2269352ctg_len-12950_circular-yes_depth-13-8-1_mult-1.00
DNA, RNA and nucleotide metabolism	5	u2269352ctg_len-12950_circular-yes_depth-13-8-1_mult-1.00
head and packaging	0	u2269352ctg_len-12950_circular-yes_depth-13-8-1_mult-1.00
integration and excision	2	u2269352ctg_len-12950_circular-yes_depth-13-8-1_mult-1.00
lysis	0	u2269352ctg_len-12950_circular-yes_depth-13-8-1_mult-1.00
moron, auxiliary metabolic gene and host takeover	0	u2269352ctg_len-12950_circular-yes_depth-13-8-1_mult-1.00
other	0	u2269352ctg_len-12950_circular-yes_depth-13-8-1_mult-1.00
tail	0	u2269352ctg_len-12950_circular-yes_depth-13-8-1_mult-1.00
transcription regulation	0	u2269352ctg_len-12950_circular-yes_depth-13-8-1_mult-1.00
unknown function	13	u2269352ctg_len-12950_circular-yes_depth-13-8-1_mult-1.00
VFDB_Virulence_Factors	0	u2269352ctg_len-12950_circular-yes_depth-13-8-1_mult-1.00
CARD_AMR	0	u2269352ctg_len-12950_circular-yes_depth-13-8-1_mult-1.00
ACR_anti_crispr	0	u2269352ctg_len-12950_circular-yes_depth-13-8-1_mult-1.00
Defensefinder	0	u2269352ctg_len-12950_circular-yes_depth-13-8-1_mult-1.00
Netflax	0	u2269352ctg_len-12950_circular-yes_depth-13-8-1_mult-1.00
CDS	37	u666261ctg_len-28856_circular-yes_depth-52-50-49_mult-1.00
connector	0	u666261ctg_len-28856_circular-yes_depth-52-50-49_mult-1.00
DNA, RNA and nucleotide metabolism	5	u666261ctg_len-28856_circular-yes_depth-52-50-49_mult-1.00
head and packaging	2	u666261ctg_len-28856_circular-yes_depth-52-50-49_mult-1.00
integration and excision	1	u666261ctg_len-28856_circular-yes_depth-52-50-49_mult-1.00
lysis	0	u666261ctg_len-28856_circular-yes_depth-52-50-49_mult-1.00
moron, auxiliary metabolic gene and host takeover	2	u666261ctg_len-28856_circular-yes_depth-52-50-49_mult-1.00
other	0	u666261ctg_len-28856_circular-yes_depth-52-50-49_mult-1.00
tail	3	u666261ctg_len-28856_circular-yes_depth-52-50-49_mult-1.00
transcription regulation	1	u666261ctg_len-28856_circular-yes_depth-52-50-49_mult-1.00
unknown function	23	u666261ctg_len-28856_circular-yes_depth-52-50-49_mult-1.00
VFDB_Virulence_Factors	0	u666261ctg_len-28856_circular-yes_depth-52-50-49_mult-1.00
CARD_AMR	0	u666261ctg_len-28856_circular-yes_depth-52-50-49_mult-1.00
ACR_anti_crispr	0	u666261ctg_len-28856_circular-yes_depth-52-50-49_mult-1.00
Defensefinder	0	u666261ctg_len-28856_circular-yes_depth-52-50-49_mult-1.00
Netflax	0	u666261ctg_len-28856_circular-yes_depth-52-50-49_mult-1.00
CDS	27	u486229ctg_len-19408_circular-yes_depth-62-57-30_mult-1.00
connector	1	u486229ctg_len-19408_circular-yes_depth-62-57-30_mult-1.00
DNA, RNA and nucleotide metabolism	3	u486229ctg_len-19408_circular-yes_depth-62-57-30_mult-1.00
head and packaging	2	u486229ctg_len-19408_circular-yes_depth-62-57-30_mult-1.00
integration and excision	0	u486229ctg_len-19408_circular-yes_depth-62-57-30_mult-1.00
lysis	0	u486229ctg_len-19408_circular-yes_depth-62-57-30_mult-1.00
moron, auxiliary metabolic gene and host takeover	1	u486229ctg_len-19408_circular-yes_depth-62-57-30_mult-1.00
other	0	u486229ctg_len-19408_circular-yes_depth-62-57-30_mult-1.00
tail	1	u486229ctg_len-19408_circular-yes_depth-62-57-30_mult-1.00
transcription regulation	0	u486229ctg_len-19408_circular-yes_depth-62-57-30_mult-1.00
unknown function	19	u486229ctg_len-19408_circular-yes_depth-62-57-30_mult-1.00
VFDB_Virulence_Factors	0	u486229ctg_len-19408_circular-yes_depth-62-57-30_mult-1.00
CARD_AMR	0	u486229ctg_len-19408_circular-yes_depth-62-57-30_mult-1.00
ACR_anti_crispr	0	u486229ctg_len-19408_circular-yes_depth-62-57-30_mult-1.00
Defensefinder	0	u486229ctg_len-19408_circular-yes_depth-62-57-30_mult-1.00
Netflax	0	u486229ctg_len-19408_circular-yes_depth-62-57-30_mult-1.00
CDS	27	u1942658ctg_len-19408_circular-yes_depth-62-60-13_mult-1.00
connector	1	u1942658ctg_len-19408_circular-yes_depth-62-60-13_mult-1.00
DNA, RNA and nucleotide metabolism	3	u1942658ctg_len-19408_circular-yes_depth-62-60-13_mult-1.00
head and packaging	1	u1942658ctg_len-19408_circular-yes_depth-62-60-13_mult-1.00
integration and excision	0	u1942658ctg_len-19408_circular-yes_depth-62-60-13_mult-1.00
lysis	0	u1942658ctg_len-19408_circular-yes_depth-62-60-13_mult-1.00
moron, auxiliary metabolic gene and host takeover	1	u1942658ctg_len-19408_circular-yes_depth-62-60-13_mult-1.00
other	0	u1942658ctg_len-19408_circular-yes_depth-62-60-13_mult-1.00
tail	1	u1942658ctg_len-19408_circular-yes_depth-62-60-13_mult-1.00
transcription regulation	0	u1942658ctg_len-19408_circular-yes_depth-62-60-13_mult-1.00
unknown function	20	u1942658ctg_len-19408_circular-yes_depth-62-60-13_mult-1.00
VFDB_Virulence_Factors	0	u1942658ctg_len-19408_circular-yes_depth-62-60-13_mult-1.00
CARD_AMR	0	u1942658ctg_len-19408_circular-yes_depth-62-60-13_mult-1.00
ACR_anti_crispr	0	u1942658ctg_len-19408_circular-yes_depth-62-60-13_mult-1.00
Defensefinder	0	u1942658ctg_len-19408_circular-yes_depth-62-60-13_mult-1.00
Netflax	0	u1942658ctg_len-19408_circular-yes_depth-62-60-13_mult-1.00
CDS	27	u2620938ctg_len-19624_circular-yes_depth-55-37-5_mult-1.00
connector	1	u2620938ctg_len-19624_circular-yes_depth-55-37-5_mult-1.00
DNA, RNA and nucleotide metabolism	3	u2620938ctg_len-19624_circular-yes_depth-55-37-5_mult-1.00
head and packaging	1	u2620938ctg_len-19624_circular-yes_depth-55-37-5_mult-1.00
integration and excision	0	u2620938ctg_len-19624_circular-yes_depth-55-37-5_mult-1.00
lysis	0	u2620938ctg_len-19624_circular-yes_depth-55-37-5_mult-1.00
moron, auxiliary metabolic gene and host takeover	1	u2620938ctg_len-19624_circular-yes_depth-55-37-5_mult-1.00
other	0	u2620938ctg_len-19624_circular-yes_depth-55-37-5_mult-1.00
tail	2	u2620938ctg_len-19624_circular-yes_depth-55-37-5_mult-1.00
transcription regulation	0	u2620938ctg_len-19624_circular-yes_depth-55-37-5_mult-1.00
unknown function	19	u2620938ctg_len-19624_circular-yes_depth-55-37-5_mult-1.00
VFDB_Virulence_Factors	0	u2620938ctg_len-19624_circular-yes_depth-55-37-5_mult-1.00
CARD_AMR	0	u2620938ctg_len-19624_circular-yes_depth-55-37-5_mult-1.00
ACR_anti_crispr	0	u2620938ctg_len-19624_circular-yes_depth-55-37-5_mult-1.00
Defensefinder	0	u2620938ctg_len-19624_circular-yes_depth-55-37-5_mult-1.00
Netflax	0	u2620938ctg_len-19624_circular-yes_depth-55-37-5_mult-1.00
CDS	39	u2455366ctg_len-29701_circular-yes_depth-36-36-13_mult-1.00
connector	2	u2455366ctg_len-29701_circular-yes_depth-36-36-13_mult-1.00
DNA, RNA and nucleotide metabolism	6	u2455366ctg_len-29701_circular-yes_depth-36-36-13_mult-1.00
head and packaging	6	u2455366ctg_len-29701_circular-yes_depth-36-36-13_mult-1.00
integration and excision	0	u2455366ctg_len-29701_circular-yes_depth-36-36-13_mult-1.00
lysis	2	u2455366ctg_len-29701_circular-yes_depth-36-36-13_mult-1.00
moron, auxiliary metabolic gene and host takeover	0	u2455366ctg_len-29701_circular-yes_depth-36-36-13_mult-1.00
other	1	u2455366ctg_len-29701_circular-yes_depth-36-36-13_mult-1.00
tail	1	u2455366ctg_len-29701_circular-yes_depth-36-36-13_mult-1.00
transcription regulation	0	u2455366ctg_len-29701_circular-yes_depth-36-36-13_mult-1.00
unknown function	21	u2455366ctg_len-29701_circular-yes_depth-36-36-13_mult-1.00
VFDB_Virulence_Factors	0	u2455366ctg_len-29701_circular-yes_depth-36-36-13_mult-1.00
CARD_AMR	0	u2455366ctg_len-29701_circular-yes_depth-36-36-13_mult-1.00
ACR_anti_crispr	0	u2455366ctg_len-29701_circular-yes_depth-36-36-13_mult-1.00
Defensefinder	0	u2455366ctg_len-29701_circular-yes_depth-36-36-13_mult-1.00
Netflax	0	u2455366ctg_len-29701_circular-yes_depth-36-36-13_mult-1.00
CDS	186	u1118815ctg_len-154940_circular-yes_depth-45-11-2_mult-1.00
connector	1	u1118815ctg_len-154940_circular-yes_depth-45-11-2_mult-1.00
DNA, RNA and nucleotide metabolism	14	u1118815ctg_len-154940_circular-yes_depth-45-11-2_mult-1.00
head and packaging	8	u1118815ctg_len-154940_circular-yes_depth-45-11-2_mult-1.00
integration and excision	4	u1118815ctg_len-154940_circular-yes_depth-45-11-2_mult-1.00
lysis	1	u1118815ctg_len-154940_circular-yes_depth-45-11-2_mult-1.00
moron, auxiliary metabolic gene and host takeover	3	u1118815ctg_len-154940_circular-yes_depth-45-11-2_mult-1.00
other	14	u1118815ctg_len-154940_circular-yes_depth-45-11-2_mult-1.00
tail	11	u1118815ctg_len-154940_circular-yes_depth-45-11-2_mult-1.00
transcription regulation	1	u1118815ctg_len-154940_circular-yes_depth-45-11-2_mult-1.00
unknown function	129	u1118815ctg_len-154940_circular-yes_depth-45-11-2_mult-1.00
VFDB_Virulence_Factors	1	u1118815ctg_len-154940_circular-yes_depth-45-11-2_mult-1.00
CARD_AMR	1	u1118815ctg_len-154940_circular-yes_depth-45-11-2_mult-1.00
ACR_anti_crispr	0	u1118815ctg_len-154940_circular-yes_depth-45-11-2_mult-1.00
Defensefinder	0	u1118815ctg_len-154940_circular-yes_depth-45-11-2_mult-1.00
Netflax	0	u1118815ctg_len-154940_circular-yes_depth-45-11-2_mult-1.00
CDS	12	u642743ctg_len-2944078_circular-yes_depth-781-781-775_mult-1.00|provirus_2514346_2523781
connector	0	u642743ctg_len-2944078_circular-yes_depth-781-781-775_mult-1.00|provirus_2514346_2523781
DNA, RNA and nucleotide metabolism	3	u642743ctg_len-2944078_circular-yes_depth-781-781-775_mult-1.00|provirus_2514346_2523781
head and packaging	1	u642743ctg_len-2944078_circular-yes_depth-781-781-775_mult-1.00|provirus_2514346_2523781
integration and excision	1	u642743ctg_len-2944078_circular-yes_depth-781-781-775_mult-1.00|provirus_2514346_2523781
lysis	0	u642743ctg_len-2944078_circular-yes_depth-781-781-775_mult-1.00|provirus_2514346_2523781
moron, auxiliary metabolic gene and host takeover	1	u642743ctg_len-2944078_circular-yes_depth-781-781-775_mult-1.00|provirus_2514346_2523781
other	0	u642743ctg_len-2944078_circular-yes_depth-781-781-775_mult-1.00|provirus_2514346_2523781
tail	0	u642743ctg_len-2944078_circular-yes_depth-781-781-775_mult-1.00|provirus_2514346_2523781
transcription regulation	0	u642743ctg_len-2944078_circular-yes_depth-781-781-775_mult-1.00|provirus_2514346_2523781
unknown function	6	u642743ctg_len-2944078_circular-yes_depth-781-781-775_mult-1.00|provirus_2514346_2523781
VFDB_Virulence_Factors	0	u642743ctg_len-2944078_circular-yes_depth-781-781-775_mult-1.00|provirus_2514346_2523781
CARD_AMR	0	u642743ctg_len-2944078_circular-yes_depth-781-781-775_mult-1.00|provirus_2514346_2523781
ACR_anti_crispr	0	u642743ctg_len-2944078_circular-yes_depth-781-781-775_mult-1.00|provirus_2514346_2523781
Defensefinder	1	u642743ctg_len-2944078_circular-yes_depth-781-781-775_mult-1.00|provirus_2514346_2523781
Netflax	0	u642743ctg_len-2944078_circular-yes_depth-781-781-775_mult-1.00|provirus_2514346_2523781
CDS	145	u2097483ctg_len-139217_circular-yes_depth-202-202-18_mult-1.00|provirus_50767_139247
connector	0	u2097483ctg_len-139217_circular-yes_depth-202-202-18_mult-1.00|provirus_50767_139247
DNA, RNA and nucleotide metabolism	21	u2097483ctg_len-139217_circular-yes_depth-202-202-18_mult-1.00|provirus_50767_139247
head and packaging	1	u2097483ctg_len-139217_circular-yes_depth-202-202-18_mult-1.00|provirus_50767_139247
integration and excision	4	u2097483ctg_len-139217_circular-yes_depth-202-202-18_mult-1.00|provirus_50767_139247
lysis	0	u2097483ctg_len-139217_circular-yes_depth-202-202-18_mult-1.00|provirus_50767_139247
moron, auxiliary metabolic gene and host takeover	8	u2097483ctg_len-139217_circular-yes_depth-202-202-18_mult-1.00|provirus_50767_139247
other	7	u2097483ctg_len-139217_circular-yes_depth-202-202-18_mult-1.00|provirus_50767_139247
tail	4	u2097483ctg_len-139217_circular-yes_depth-202-202-18_mult-1.00|provirus_50767_139247
transcription regulation	2	u2097483ctg_len-139217_circular-yes_depth-202-202-18_mult-1.00|provirus_50767_139247
unknown function	97	u2097483ctg_len-139217_circular-yes_depth-202-202-18_mult-1.00|provirus_50767_139247
VFDB_Virulence_Factors	4	u2097483ctg_len-139217_circular-yes_depth-202-202-18_mult-1.00|provirus_50767_139247
CARD_AMR	0	u2097483ctg_len-139217_circular-yes_depth-202-202-18_mult-1.00|provirus_50767_139247
ACR_anti_crispr	0	u2097483ctg_len-139217_circular-yes_depth-202-202-18_mult-1.00|provirus_50767_139247
Defensefinder	0	u2097483ctg_len-139217_circular-yes_depth-202-202-18_mult-1.00|provirus_50767_139247
Netflax	1	u2097483ctg_len-139217_circular-yes_depth-202-202-18_mult-1.00|provirus_50767_139247
CDS	61	u2315514ctg_len-131211_circular-yes_depth-187-182-22_mult-1.00|provirus_67484_108579
connector	0	u2315514ctg_len-131211_circular-yes_depth-187-182-22_mult-1.00|provirus_67484_108579
DNA, RNA and nucleotide metabolism	10	u2315514ctg_len-131211_circular-yes_depth-187-182-22_mult-1.00|provirus_67484_108579
head and packaging	1	u2315514ctg_len-131211_circular-yes_depth-187-182-22_mult-1.00|provirus_67484_108579
integration and excision	1	u2315514ctg_len-131211_circular-yes_depth-187-182-22_mult-1.00|provirus_67484_108579
lysis	0	u2315514ctg_len-131211_circular-yes_depth-187-182-22_mult-1.00|provirus_67484_108579
moron, auxiliary metabolic gene and host takeover	4	u2315514ctg_len-131211_circular-yes_depth-187-182-22_mult-1.00|provirus_67484_108579
other	1	u2315514ctg_len-131211_circular-yes_depth-187-182-22_mult-1.00|provirus_67484_108579
tail	2	u2315514ctg_len-131211_circular-yes_depth-187-182-22_mult-1.00|provirus_67484_108579
transcription regulation	2	u2315514ctg_len-131211_circular-yes_depth-187-182-22_mult-1.00|provirus_67484_108579
unknown function	39	u2315514ctg_len-131211_circular-yes_depth-187-182-22_mult-1.00|provirus_67484_108579
VFDB_Virulence_Factors	3	u2315514ctg_len-131211_circular-yes_depth-187-182-22_mult-1.00|provirus_67484_108579
CARD_AMR	0	u2315514ctg_len-131211_circular-yes_depth-187-182-22_mult-1.00|provirus_67484_108579
ACR_anti_crispr	0	u2315514ctg_len-131211_circular-yes_depth-187-182-22_mult-1.00|provirus_67484_108579
Defensefinder	0	u2315514ctg_len-131211_circular-yes_depth-187-182-22_mult-1.00|provirus_67484_108579
Netflax	1	u2315514ctg_len-131211_circular-yes_depth-187-182-22_mult-1.00|provirus_67484_108579
CDS	18	u2038656ctg_len-3378781_circular-yes_depth-21-20-20_mult-1.00|provirus_2822523_2834628
connector	0	u2038656ctg_len-3378781_circular-yes_depth-21-20-20_mult-1.00|provirus_2822523_2834628
DNA, RNA and nucleotide metabolism	1	u2038656ctg_len-3378781_circular-yes_depth-21-20-20_mult-1.00|provirus_2822523_2834628
head and packaging	1	u2038656ctg_len-3378781_circular-yes_depth-21-20-20_mult-1.00|provirus_2822523_2834628
integration and excision	2	u2038656ctg_len-3378781_circular-yes_depth-21-20-20_mult-1.00|provirus_2822523_2834628
lysis	1	u2038656ctg_len-3378781_circular-yes_depth-21-20-20_mult-1.00|provirus_2822523_2834628
moron, auxiliary metabolic gene and host takeover	0	u2038656ctg_len-3378781_circular-yes_depth-21-20-20_mult-1.00|provirus_2822523_2834628
other	1	u2038656ctg_len-3378781_circular-yes_depth-21-20-20_mult-1.00|provirus_2822523_2834628
tail	0	u2038656ctg_len-3378781_circular-yes_depth-21-20-20_mult-1.00|provirus_2822523_2834628
transcription regulation	0	u2038656ctg_len-3378781_circular-yes_depth-21-20-20_mult-1.00|provirus_2822523_2834628
unknown function	12	u2038656ctg_len-3378781_circular-yes_depth-21-20-20_mult-1.00|provirus_2822523_2834628
