seq_name	length	topology	coordinates	n_genes	genetic_code	virus_score	fdr	n_hallmarks	marker_enrichment	taxonomy
u4570316ctg_len-38433_circular-yes_depth-66-36-6_mult-1.00	38463	DTR	NA	65	11	0.9995	0.0005	7	40.5656	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u4207615ctg_len-31892_circular-yes_depth-362-175-31_mult-1.00	31922	DTR	NA	57	11	0.9995	0.0005	13	38.6188	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u755617ctg_len-2352707_circular-yes_depth-9-9-9_mult-1.00|provirus_2139099_2166536	27438	Provirus	2139099-2166536	37	11	0.9995	0.0005	9	39.8668	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u4532451ctg_len-31871_circular-yes_depth-846-552-6_mult-1.00	31901	DTR	NA	57	11	0.9995	0.0005	13	38.7578	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u4688284ctg_len-49905_circular-yes_depth-33-13-5_mult-1.00	49935	DTR	NA	79	11	0.9995	0.0005	5	32.5776	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u3914590ctg_len-294470_circular-yes_depth-43-21-3_mult-1.00	294500	DTR	NA	258	11	0.9995	0.0005	1	49.6596	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u3527003ctg_len-29924_circular-yes_depth-156-90-8_mult-1.00	29954	DTR	NA	50	11	0.9995	0.0005	11	32.6298	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u4735339ctg_len-31686_circular-yes_depth-48-48-7_mult-1.00	31716	DTR	NA	53	11	0.9995	0.0005	13	35.0007	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u4708835ctg_len-38581_circular-yes_depth-15-4-1_mult-1.00	38611	DTR	NA	79	11	0.9995	0.0005	8	59.4269	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u2908601ctg_len-38951_circular-yes_depth-13-6-1_mult-1.00	38981	DTR	NA	65	11	0.9995	0.0005	6	39.6929	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u2224828ctg_len-49583_circular-yes_depth-30-27-4_mult-1.00	49613	DTR	NA	80	11	0.9995	0.0005	5	33.9134	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u4155213ctg_len-43440_circular-yes_depth-10-8-5_mult-1.00	43470	DTR	NA	61	11	0.9995	0.0005	7	30.5587	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u3073395ctg_len-49524_circular-yes_depth-30-14-1_mult-1.00	49554	DTR	NA	85	11	0.9995	0.0005	5	29.1551	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u2891252ctg_len-35362_circular-yes_depth-13-4-1_mult-1.00	35392	DTR	NA	59	11	0.9995	0.0005	3	27.7780	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u2668744ctg_len-35650_circular-yes_depth-9-9-5_mult-1.00	35680	DTR	NA	43	11	0.9995	0.0005	4	14.3770	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u4713604ctg_len-49487_circular-yes_depth-28-14-1_mult-1.00	49517	DTR	NA	72	11	0.9995	0.0005	4	28.6652	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u4654723ctg_len-2694976_circular-yes_depth-169-169-88_mult-1.00|provirus_2103321_2157966	54646	Provirus	2103321-2157966	58	11	0.9995	0.0005	14	62.2217	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u3793271ctg_len-47631_circular-yes_depth-9-8-1_mult-1.00	47661	DTR	NA	79	11	0.9995	0.0005	5	32.0235	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u4056353ctg_len-30554_circular-yes_depth-56-56-41_mult-1.00	30584	DTR	NA	46	11	0.9995	0.0005	9	34.4228	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u566787ctg_len-44330_circular-yes_depth-9-6-2_mult-1.00	44360	DTR	NA	77	11	0.9995	0.0005	9	36.6432	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u861002ctg_len-49788_circular-yes_depth-11-5-4_mult-1.00	49818	DTR	NA	86	11	0.9995	0.0005	6	36.5971	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u2191948ctg_len-42725_circular-yes_depth-9-7-6_mult-1.00	42755	DTR	NA	75	11	0.9995	0.0005	9	34.3539	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u3529280ctg_len-2212616_circular-yes_depth-6-6-5_mult-1.00|provirus_209130_249677	40548	Provirus	209130-249677	63	11	0.9995	0.0005	10	47.1909	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u112693ctg_len-5450262_circular-yes_depth-36-36-34_mult-1.00|provirus_3847011_3870329	23319	Provirus	3847011-3870329	34	11	0.9995	0.0005	9	21.0812	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u234991ctg_len-3006764_circular-yes_depth-11-11-7_mult-1.00|provirus_281038_303265	22228	Provirus	281038-303265	21	11	0.9995	0.0005	5	17.3290	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u4282104ctg_len-51421_circular-yes_depth-13-13-9_mult-1.00	51451	DTR	NA	82	11	0.9995	0.0005	12	70.3743	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u1328224ctg_len-50505_circular-yes_depth-10-8-1_mult-1.00	50535	DTR	NA	74	11	0.9995	0.0005	5	30.2901	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u1866930ctg_len-45196_circular-yes_depth-37-34-29_mult-1.00	45226	DTR	NA	62	11	0.9995	0.0005	4	24.6553	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u4516822ctg_len-40047_circular-yes_depth-16-1-1_mult-1.00	40077	DTR	NA	63	11	0.9995	0.0005	7	37.0314	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u2274830ctg_len-62292_circular-yes_depth-22-17-7_mult-1.00	62322	DTR	NA	93	11	0.9995	0.0005	8	38.2782	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u3341120ctg_len-125134_circular-yes_depth-18-15-1_mult-1.82	125164	DTR	NA	131	11	0.9995	0.0005	8	99.8798	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u755617ctg_len-2352707_circular-yes_depth-9-9-9_mult-1.00|provirus_2343495_2352736	9242	Provirus	2343495-2352736	10	11	0.9995	0.0005	1	11.1928	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u234991ctg_len-3006764_circular-yes_depth-11-11-7_mult-1.00|provirus_492966_535802	42837	Provirus	492966-535802	70	11	0.9995	0.0005	3	42.9521	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u4468901ctg_len-10358_circular-yes_depth-16-6-1_mult-1.00	10388	DTR	NA	17	11	0.9995	0.0005	0	2.7706	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u1978414ctg_len-52955_circular-yes_depth-10-5-5_mult-1.00	52985	DTR	NA	58	11	0.9995	0.0005	16	57.0273	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u1638141ctg_len-132357_circular-yes_depth-74-69-7_mult-2.00	132387	DTR	NA	202	11	0.9995	0.0005	12	58.1151	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u4695058ctg_len-8877_circular-yes_depth-14-14-10_mult-1.00	8907	DTR	NA	16	11	0.9995	0.0005	2	5.8598	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u1111826ctg_len-225980_circular-yes_depth-10-6-3_mult-1.55	226010	DTR	NA	274	11	0.9995	0.0005	9	74.4051	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u1779874ctg_len-3147422_circular-yes_depth-26-26-21_mult-1.00|provirus_1757941_1813604	55664	Provirus	1757941-1813604	59	11	0.9995	0.0005	14	66.5073	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u4088763ctg_len-89092_circular-yes_depth-23-7-1_mult-1.00	89122	DTR	NA	87	11	0.9995	0.0005	5	28.8079	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u3297809ctg_len-8652_circular-yes_depth-15-9-1_mult-1.00	8682	DTR	NA	10	11	0.9995	0.0005	0	2.2668	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u2102920ctg_len-55437_circular-yes_depth-12-12-2_mult-1.00	55467	DTR	NA	85	11	0.9995	0.0005	3	20.1239	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u3625212ctg_len-39446_circular-yes_depth-27-26-19_mult-1.00	39476	DTR	NA	64	11	0.9995	0.0005	8	44.0622	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u4447004ctg_len-37278_circular-yes_depth-28-14-11_mult-1.00	37308	DTR	NA	58	11	0.9995	0.0005	9	42.6210	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u459400ctg_len-2436717_circular-yes_depth-30-20-14_mult-1.00|provirus_2275240_2302799	27560	Provirus	2275240-2302799	37	11	0.9995	0.0005	8	25.7445	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u3742583ctg_len-9617_circular-yes_depth-18-7-1_mult-1.00	9647	DTR	NA	11	11	0.9995	0.0005	0	2.2668	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u4120609ctg_len-2365205_circular-yes_depth-13-12-11_mult-1.00|provirus_322098_336115	14018	Provirus	322098-336115	18	11	0.9995	0.0005	3	11.8562	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u1521750ctg_len-36751_circular-yes_depth-27-16-2_mult-1.00	36781	DTR	NA	53	11	0.9995	0.0005	10	36.1085	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u4771306ctg_len-38132_circular-yes_depth-12-10-5_mult-1.00	38162	DTR	NA	59	11	0.9995	0.0005	9	40.3212	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u636894ctg_len-134634_circular-yes_depth-14-14-14_mult-1.00	134664	DTR	NA	170	11	0.9995	0.0005	6	112.9114	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u3376436ctg_len-54497_circular-yes_depth-22-21-16_mult-1.00	54527	DTR	NA	89	11	0.9995	0.0005	6	24.3225	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u1327408ctg_len-36274_circular-yes_depth-7-7-7_mult-1.00	36304	DTR	NA	47	11	0.9995	0.0005	7	26.2469	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u4419051ctg_len-39077_circular-yes_depth-13-13-9_mult-1.00	39107	DTR	NA	64	11	0.9995	0.0005	9	44.1754	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u282192ctg_len-41047_circular-yes_depth-12-12-2_mult-1.00	41077	DTR	NA	60	11	0.9995	0.0005	11	48.6185	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u755617ctg_len-2352707_circular-yes_depth-9-9-9_mult-1.00|provirus_3_46255	46253	Provirus	3-46255	50	11	0.9995	0.0005	15	54.0011	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u4695176ctg_len-9620_circular-yes_depth-73-5-2_mult-1.00	9650	DTR	NA	11	11	0.9995	0.0005	0	2.2668	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u3503384ctg_len-7558_circular-yes_depth-13-11-11_mult-1.00	7588	DTR	NA	11	11	0.9995	0.0005	1	2.7079	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u2111725ctg_len-10323_circular-yes_depth-17-9-7_mult-1.00	10353	DTR	NA	16	11	0.9995	0.0005	0	2.7706	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u2483505ctg_len-2367008_circular-yes_depth-12-12-11_mult-1.00|provirus_839896_935153	95258	Provirus	839896-935153	101	11	0.9995	0.0005	31	111.0823	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u550491ctg_len-2860490_circular-yes_depth-14-14-14_mult-1.00|provirus_2687466_2718034	30569	Provirus	2687466-2718034	44	11	0.9995	0.0005	19	42.3792	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u4608528ctg_len-11503_circular-yes_depth-10-10-10_mult-1.00	11533	DTR	NA	19	11	0.9995	0.0005	0	2.7706	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u4685599ctg_len-1070890_circular-yes_depth-74-52-35_mult-1.00|provirus_571138_581474	10337	Provirus	571138-581474	13	11	0.9994	0.0005	2	11.6455	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u3287963ctg_len-17541_circular-yes_depth-185-185-18_mult-1.00	17571	DTR	NA	19	11	0.9994	0.0005	0	1.4558	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Winoviridae
u1602195ctg_len-29401_circular-yes_depth-14-7-4_mult-1.00	29431	DTR	NA	47	11	0.9994	0.0005	4	20.8953	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u3773017ctg_len-2531707_circular-yes_depth-39-39-39_mult-1.00|provirus_889885_900150	10266	Provirus	889885-900150	13	11	0.9994	0.0005	3	5.0680	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u234991ctg_len-3006764_circular-yes_depth-11-11-7_mult-1.00|provirus_1929491_1993144	63654	Provirus	1929491-1993144	74	11	0.9994	0.0005	6	48.7890	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u878851ctg_len-54433_circular-yes_depth-16-16-10_mult-1.00	54463	DTR	NA	71	11	0.9994	0.0005	13	45.8492	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u3936856ctg_len-45464_circular-yes_depth-64-62-48_mult-1.00	45494	DTR	NA	73	11	0.9994	0.0005	5	21.7196	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u872794ctg_len-1449014_circular-yes_depth-13-13-13_mult-1.00|provirus_538459_600664	62206	Provirus	538459-600664	73	11	0.9994	0.0005	17	64.1488	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u4120609ctg_len-2365205_circular-yes_depth-13-12-11_mult-1.00|provirus_646626_672852	26227	Provirus	646626-672852	32	11	0.9994	0.0005	6	12.0891	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u4337485ctg_len-40048_circular-yes_depth-38-38-9_mult-1.00	40078	DTR	NA	66	11	0.9994	0.0005	6	16.6911	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u234991ctg_len-3006764_circular-yes_depth-11-11-7_mult-1.00|provirus_2741890_2765063	23174	Provirus	2741890-2765063	33	11	0.9994	0.0005	2	15.2868	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u2598907ctg_len-38882_circular-yes_depth-40-30-10_mult-1.00	38912	DTR	NA	62	11	0.9994	0.0005	6	16.6406	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u234991ctg_len-3006764_circular-yes_depth-11-11-7_mult-1.00|provirus_1754071_1803156	49086	Provirus	1754071-1803156	58	11	0.9994	0.0005	17	57.5753	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u1526694ctg_len-7139_circular-yes_depth-24-10-8_mult-1.00	7169	DTR	NA	11	11	0.9994	0.0005	1	2.7079	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u2433078ctg_len-1711955_circular-yes_depth-12-11-4_mult-1.00|provirus_82878_124077	41200	Provirus	82878-124077	49	11	0.9994	0.0005	14	44.8316	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u3808567ctg_len-8074_circular-yes_depth-8-7-5_mult-1.00	8104	DTR	NA	11	11	0.9994	0.0005	1	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u234991ctg_len-3006764_circular-yes_depth-11-11-7_mult-1.00|provirus_2883315_2911457	28143	Provirus	2883315-2911457	36	11	0.9994	0.0005	5	31.8486	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u4654723ctg_len-2694976_circular-yes_depth-169-169-88_mult-1.00|provirus_2405153_2469654	64502	Provirus	2405153-2469654	60	11	0.9994	0.0005	11	58.4527	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u1600143ctg_len-7113_circular-yes_depth-49-3-1_mult-1.00	7143	DTR	NA	11	11	0.9994	0.0005	1	2.7079	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u3629037ctg_len-29350_circular-yes_depth-22-5-2_mult-1.00	29380	DTR	NA	50	11	0.9994	0.0005	0	4.6823	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u3882474ctg_len-45276_circular-yes_depth-9-9-9_mult-1.00	45306	DTR	NA	66	11	0.9994	0.0005	0	9.2530	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u1501404ctg_len-19451_circular-yes_depth-7-6-6_mult-1.00	19481	DTR	NA	34	11	0.9994	0.0005	1	2.2475	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u3825904ctg_len-42827_circular-yes_depth-13-8-1_mult-1.00	42857	DTR	NA	65	11	0.9994	0.0005	3	15.8020	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u3116733ctg_len-41170_circular-yes_depth-57-57-57_mult-1.00	41200	DTR	NA	61	11	0.9994	0.0005	6	28.2738	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u4196507ctg_len-9222_circular-yes_depth-21-13-1_mult-1.00	9252	DTR	NA	14	11	0.9994	0.0005	2	5.2666	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u3893003ctg_len-2101170_circular-yes_depth-18-17-6_mult-1.00|provirus_29292_71226	41935	Provirus	29292-71226	47	11	0.9994	0.0005	5	28.5813	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u2483505ctg_len-2367008_circular-yes_depth-12-12-11_mult-1.00|provirus_1785459_1807976	22518	Provirus	1785459-1807976	31	11	0.9994	0.0005	9	29.1206	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u4521051ctg_len-25007_circular-yes_depth-26-21-17_mult-1.00	25037	DTR	NA	36	11	0.9994	0.0005	0	5.5506	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u4332204ctg_len-25897_circular-yes_depth-67-20-10_mult-1.00	25927	DTR	NA	43	11	0.9994	0.0005	0	5.7855	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u1072929ctg_len-749379_circular-yes_depth-34-34-34_mult-1.00|provirus_149342_179864	30523	Provirus	149342-179864	45	11	0.9994	0.0005	5	25.2526	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u4569596ctg_len-49248_circular-yes_depth-12-12-1_mult-1.00	49278	DTR	NA	49	11	0.9994	0.0005	1	12.3006	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u4350411ctg_len-26607_circular-yes_depth-14-6-1_mult-1.00	26637	DTR	NA	38	11	0.9994	0.0005	0	2.6725	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u239439ctg_len-7346_circular-yes_depth-31-5-1_mult-1.00	7376	DTR	NA	10	11	0.9994	0.0005	1	2.7079	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u4758774ctg_len-17538_circular-yes_depth-184-182-19_mult-1.00	17568	DTR	NA	22	11	0.9994	0.0005	0	1.4558	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Winoviridae
u872794ctg_len-1449014_circular-yes_depth-13-13-13_mult-1.00|provirus_33650_45763	12114	Provirus	33650-45763	18	11	0.9994	0.0005	9	19.0531	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u1475979ctg_len-2964427_circular-yes_depth-79-68-7_mult-1.00|provirus_674388_696995	22608	Provirus	674388-696995	24	11	0.9994	0.0005	12	23.8008	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
