contig	input_name	organism	virus_seq_length	end_feature	gene_count	virion_hallmark_count	rep_hallmark_count	RDRP_hallmark_count	virion_hallmark_genes	rep_hallmark_genes	RDRP_hallmark_genes	taxonomy_hierarchy	ORF_caller	gcode	avg_read_depth
ct3_DRR290133_1b_110	u2029524ctg_len-37929_circular-yes_depth-7-7-7_mult-1.00 (with DTR)	Caudoviricetes sp. ctLXGY4	37959	DTR	46	5	2	0	Large Terminase|Portal Protein|Major Capsid Protein|major tail protein|tail tape measure protein 	dsDNA helicase|DNA helicase		-_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes	prodigal-gv	11	NaN
ct3_DRR290133_1b_111	u1735702ctg_len-26303_circular-yes_depth-9-6-4_mult-1.00 (with DTR)	Caudoviricetes sp. ctJIZMX	26333	DTR	39	9	0	0	Small Terminase|Large Terminase|Portal Protein|minor capsid protein|prohead serine protease|Major Capsid Protein|type I neck protein|major tail protein|minor tail protein			-_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes	prodigal-gv	11	NaN
ct3_DRR290133_1b_112	u596350ctg_len-57593_circular-yes_depth-8-7-3_mult-1.00 (with DTR)	Caudoviricetes sp. ctX3EPA	57623	DTR	60	2	1	0	Major Capsid Protein|Large Terminase	replicative DNA helicase		-_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes	prodigal-gv	11	NaN
ct3_DRR290133_1b_114	u2320616ctg_len-27114_circular-yes_depth-7-7-5_mult-1.00 (with DTR)	Caudoviricetes sp. ctIB39Q	27144	DTR	42	12	1	0	tail tape measure protein |major tail protein|major tail protein|tail completion protein|type I neck protein|Head Tail Connector Protein|phage major capsid protein, HK97 family|head maturation protease|Portal Protein|Large Terminase|Small Terminase|DNA packaging protein	phage replisome organiser		-_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes	prodigal-gv	11	NaN
ct3_DRR290133_1b_115	u1877398ctg_len-31802_circular-yes_depth-9-8-6_mult-1.00 (with DTR)	Caudoviricetes sp. ctZ23BV	31832	DTR	47	6	0	0	Large Terminase|major tail protein|Portal Protein|prohead serine protease|Major Capsid Protein|Large Terminase			-_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes	prodigal-gv	11	NaN
ct3_DRR290133_1b_116	u1182211ctg_len-29448_circular-yes_depth-6-6-6_mult-1.00 (with DTR)	Caudoviricetes sp. ct9350C	29478	DTR	37	2	0	0	Large Terminase|Portal Protein			-_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes	prodigal-gv	11	NaN
ct3_DRR290133_1b_117	u1002948ctg_len-35671_circular-yes_depth-8-8-6_mult-1.00 (with DTR)	Caudoviricetes sp. ctFP620	35701	DTR	37	2	0	0	Large Terminase|Major Capsid Protein			-_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes	prodigal-gv	11	NaN
ct3_DRR290133_1b_118	u2144405ctg_len-30298_circular-yes_depth-7-7-7_mult-1.00 (with DTR)	Caudoviricetes sp. ctVBU9T	30328	DTR	41	5	0	0	Major Capsid Protein|prohead serine protease|Portal Protein|major tail protein|Large Terminase			-_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes	prodigal-gv	11	NaN
ct3_DRR290133_1b_119	u1196302ctg_len-32693_circular-yes_depth-7-7-5_mult-1.00 (with DTR)	Caudoviricetes sp. ct2JAS2	32723	DTR	44	10	0	0	Small Terminase|Large Terminase|Portal Protein|head maturation protease|Major Capsid Protein|Head Tail Connector Protein|Head Tail Connector protein|tail completion protein|major tail protein|major tail protein			-_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes	prodigal-gv	11	NaN
ct3_DRR290133_1b_12	u2376146ctg_len-44027_circular-yes_depth-22-22-1_mult-1.00 (with DTR)	Caudoviricetes sp. ctGHOMY	44057	DTR	62	5	1	0	tail tape measure protein |head to tail adaptor|Major Capsid protein|Portal protein|Large Terminase	DNAB Like Replicative Helicase		-_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes	prodigal-gv	11	NaN
ct3_DRR290133_1b_120	u1919393ctg_len-31645_circular-yes_depth-9-5-4_mult-1.00 (with DTR)	Caudoviricetes sp. ct0OXA5	31675	DTR	41	6	0	0	Head Tail Connector Protein|phage major capsid protein, HK97 family|Portal Protein|Large Terminase|Terminase small subunit|minor tail protein 			-_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes	prodigal-gv	11	NaN
ct3_DRR290133_1b_125	u1220427ctg_len-17218_circular-yes_depth-11-11-1_mult-1.00 (with DTR)	Caudoviricetes sp. ct2QNKQ	17248	DTR	22	3	1	0	Large Terminase|Portal Protein|Major Capsid Protein	DNA helicase		-_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes	prodigal-gv	11	NaN
ct3_DRR290133_1b_129@C85	u447596ctg_len-2874900_circular-yes_depth-9-4-2_mult-1.00 (with DTR)	Caudoviricetes sp. ctPJAHZ	7142	None	11	4	0	0	Large Terminase|Portal protein|minor capsid component|Virion morphogenesis family			-_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes	prodigal-gv	11	NaN
ct3_DRR290133_1b_13	u1249209ctg_len-35213_circular-yes_depth-20-20-7_mult-1.00 (with DTR)	Caudoviricetes sp. ctZBCGV	35243	DTR	43	5	0	0	type I neck protein|Major Capsid protein|minor capsid protein|Portal protein|Large Terminase			-_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes	prodigal-gv	11	NaN
ct3_DRR290133_1b_131	u1206103ctg_len-30109_circular-yes_depth-7-7-3_mult-1.00 (with DTR)	Caudoviricetes sp. ct2RRNB	30139	DTR	42	5	0	0	Major Capsid Protein|prohead serine protease|Portal Protein|major tail protein|Large Terminase			-_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes	prodigal-gv	11	NaN
ct3_DRR290133_1b_132	u1520718ctg_len-20583_circular-yes_depth-7461-7461-1541_mult-1.00 (with DTR)	Caudoviricetes sp. ctTRYPT	20613	DTR	35	3	0	0	Large Terminase|Portal Protein|Major Capsid Protein			-_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes	prodigal-gv	11	NaN
ct3_DRR290133_1b_133@C59	u642743ctg_len-2944078_circular-yes_depth-781-781-775_mult-1.00 (with DTR)	Caudoviricetes sp. ctJL1WB	51551	None	44	2	0	0	major capsid subunit gpT|major capsid subunit gpT			-_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes	prodigal-gv	11	NaN
ct3_DRR290133_1b_134@C115	u1634343ctg_len-3192067_circular-yes_depth-795-774-615_mult-1.00 (with DTR)	Caudoviricetes sp. ctDYD95	35957	None	59	10	0	0	Tail protein|baseplate assembly protein|tail tape measure protein |tail sheath|virion morphogenesis protein|head to tail adaptor|Major Capsid protein|minor capsid component|Portal protein|Large Terminase			-_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes	prodigal-gv	11	NaN
ct3_DRR290133_1b_135	u1752406ctg_len-75246_circular-yes_depth-664-661-119_mult-1.00 (with DTR)	Caudoviricetes sp. ctGE2EC	75276	DTR	86	8	2	0	head to tail adaptor|Major capsid protein|Large Terminase|Tail fiber protein |Baseplate J like protein|major tail protein|tail sheath|Portal	DNA polymerase sliding clamp|Helicase of the snf2 family		-_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes	prodigal-gv	11	NaN
ct3_DRR290133_1b_136	u2041124ctg_len-178140_circular-yes_depth-697-697-29_mult-2.00 (with DTR)	unclassified virus sp. ctRMQ0S	178170	DTR	181	4	4	0	Major Capsid Protein|Portal protein|Major Capsid Protein|Portal protein	Helicase of the snf2 family|Helicase ATPase|Helicase of the snf2 family|Helicase ATPase		unclassified virus	prodigal-gv	11	NaN
ct3_DRR290133_1b_137	u171739ctg_len-28196_circular-yes_depth-352-224-118_mult-1.00 (with DTR)	Caudoviricetes sp. ct8L4K6	28226	DTR	37	5	1	0	Large Terminase|Portal Protein|phage major capsid protein, HK97 family|Head Tail Connector Protein|minor tail protein	DNA helicase		-_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes	prodigal-gv	11	NaN
ct3_DRR290133_1b_138	u491056ctg_len-72311_circular-yes_depth-237-237-37_mult-1.00 (with DTR)	Caudoviricetes sp. ct1KGR7	72341	DTR	84	5	0	0	Large Terminase|Portal Protein|Prohead core protein protease|Major Capsid Protein|minor tail protein			-_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes	prodigal-gv	11	NaN
ct3_DRR290133_1b_14	u503399ctg_len-32593_circular-yes_depth-35-9-3_mult-1.00 (with DTR)	Caudoviricetes sp. ctA836I	32623	DTR	53	7	1	0	Large Terminase|Portal protein|Major Capsid Protein|Head Tail Connector Protein|Head Tail Connector protein|tail completion protein|tail tape measure protein 	Primosomal protein 1		-_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes	prodigal-gv	11	NaN
ct3_DRR290133_1b_140	u2669486ctg_len-36031_circular-yes_depth-167-167-167_mult-1.00 (with DTR)	Caudoviricetes sp. ct9X1M2	36061	DTR	33	2	0	0	Major Capsid Protein|Large Terminase			-_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes	prodigal-gv	11	NaN
ct3_DRR290133_1b_144	u2120108ctg_len-27429_circular-yes_depth-356-34-9_mult-1.00 (with DTR)	Caudoviricetes sp. ct4F345	27459	DTR	36	5	1	0	Large Terminase|Portal Protein|phage major capsid protein, HK97 family|Head Tail Connector Protein|minor tail protein	DNA helicase		-_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes	prodigal-gv	11	NaN
ct3_DRR290133_1b_146	u658173ctg_len-27416_circular-yes_depth-357-27-8_mult-1.00 (with DTR)	Caudoviricetes sp. ctDXBLE	27446	DTR	37	6	1	0	Large Terminase|Portal Protein|Portal protein|phage major capsid protein, HK97 family|Head Tail Connector Protein|minor tail protein	DNA helicase		-_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes	prodigal-gv	11	NaN
ct3_DRR290133_1b_148	u1608650ctg_len-27521_circular-yes_depth-272-106-5_mult-1.00 (with DTR)	Caudoviricetes sp. ct9RMSM	27551	DTR	37	7	1	0	Large Terminase|Portal Protein|tail component|phage major capsid protein, HK97 family|Head Tail Connector Protein|minor tail protein|Large Terminase	DNA helicase		-_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes	prodigal-gv	11	NaN
ct3_DRR290133_1b_149	u659566ctg_len-30904_circular-yes_depth-279-100-1_mult-1.00 (with DTR)	Caudoviricetes sp. ctCUIYC	30934	DTR	48	8	0	0	Large Terminase|tail tape measure protein |Minor capsid protein|minor capsid protein|tail tube protein|Major Capsid Protein|Portal Protein|Large Terminase			-_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes	prodigal-gv	11	NaN
ct3_DRR290133_1b_15	u1240348ctg_len-37956_circular-yes_depth-19-19-7_mult-1.00 (with DTR)	Caudoviricetes sp. ctKSXTV	37986	DTR	56	7	0	0	tail tape measure protein |major tail protein|head to tail adaptor|Major Capsid Protein|prohead serine protease|Portal Protein|Large Terminase			-_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes	prodigal-gv	11	NaN
ct3_DRR290133_1b_150	u2553031ctg_len-31033_circular-yes_depth-284-40-1_mult-1.00 (with DTR)	Caudoviricetes sp. ctDM4P9	31063	DTR	48	7	0	0	Large Terminase|Portal Protein|Major Capsid Protein|tail tube protein|minor capsid protein|Minor capsid protein|tail tape measure protein 			-_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes	prodigal-gv	11	NaN
ct3_DRR290133_1b_151	u1258448ctg_len-25682_circular-yes_depth-240-47-45_mult-1.00 (with DTR)	Caudoviricetes sp. ctUM2KU	25712	DTR	34	6	1	0	Large Terminase|Portal Protein|phage major capsid protein, HK97 family|Head Tail Connector Protein|minor tail protein|Large Terminase	DNA helicase		-_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes	prodigal-gv	11	NaN
ct3_DRR290133_1b_152@C163	u2075062ctg_len-5637588_circular-yes_depth-125-100-78_mult-1.00 (with DTR)	Caudoviricetes sp. ctLSUS0	29303	None	29	7	1	0	tail sheath|major tail protein|major tail protein|Tail protein|Baseplate wedge protein|Baseplate J like protein|Tail protein	Large T antigen		-_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes	prodigal-gv	11	NaN
ct3_DRR290133_1b_154	u1459500ctg_len-31203_circular-yes_depth-191-94-4_mult-1.00 (with DTR)	Caudoviricetes sp. ctHOG6U	31233	DTR	42	8	0	0	Neck appendage protein|virion protein|Large Terminase|Portal Protein|Major Capsid Protein|Minor capsid protein|Minor capsid protein|tail tape measure protein 			-_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes	prodigal-gv	11	NaN
ct3_DRR290133_1b_155	u454294ctg_len-31266_circular-yes_depth-199-58-36_mult-1.00 (with DTR)	Caudoviricetes sp. ct389WK	31296	DTR	42	9	0	0	Minor capsid protein|Minor capsid protein|tail tube protein|tail tape measure protein |Neck appendage protein|virion protein|Large Terminase|Portal Protein|Major Capsid Protein			-_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes	prodigal-gv	11	NaN
ct3_DRR290133_1b_157@C38	u313014ctg_len-4565779_circular-yes_depth-167-58-45_mult-1.00 (with DTR)	Caudoviricetes sp. ctGZCSK	25703	None	21	6	0	0	tail sheath|major tail protein|minor tail protein |Baseplate wedge protein|Baseplate wedge protein|Baseplate wedge protein			-_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes	prodigal-gv	11	NaN
ct3_DRR290133_1b_158	u865510ctg_len-30864_circular-yes_depth-205-48-14_mult-1.00 (with DTR)	Caudoviricetes sp. ct52F0H	30894	DTR	40	7	0	0	Neck appendage protein|Large Terminase|Portal Protein|Major Capsid Protein|Minor capsid protein|Minor capsid protein|tail tape measure protein 			-_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes	prodigal-gv	11	NaN
ct3_DRR290133_1b_159	u371642ctg_len-62359_circular-yes_depth-226-30-4_mult-1.50 (with DTR)	Caudoviricetes sp. ctGY4MK	62389	DTR	83	18	0	0	Minor capsid protein|Minor capsid protein|Major Capsid Protein|Portal Protein|Large Terminase|virion protein|Neck appendage protein|tail tape measure protein |tail tube protein|Minor capsid protein|Minor capsid protein|Major Capsid Protein|Portal Protein|Large Terminase|Large Terminase|Neck appendage protein|tail tape measure protein |tail tube protein			-_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes	prodigal-gv	11	NaN
ct3_DRR290133_1b_160	u1128154ctg_len-30326_circular-yes_depth-192-55-12_mult-1.00 (with DTR)	Caudoviricetes sp. ctKT0EI	30356	DTR	38	8	0	0	virion protein|Neck appendage protein|tail tape measure protein |Minor capsid protein|Minor capsid protein|Major Capsid Protein|Portal Protein|Large Terminase			-_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes	prodigal-gv	11	NaN
ct3_DRR290133_1b_161@C235	u2586890ctg_len-5939543_circular-yes_depth-92-81-71_mult-1.20 (with DTR)	Matshushitaviridae sp. ctIFIU0	18545	None	36	3	0	0	Tail fiber protein |Major Capsid protein|Large Terminase			-_Viruses;-_Singelaviria;k_Helvetiavirae;p_Dividoviricota;c_Laserviricetes;o_Halopanivirales;f_Matshushitaviridae	prodigal-gv	11	NaN
ct3_DRR290133_1b_161@C41	u2586890ctg_len-5939543_circular-yes_depth-92-81-71_mult-1.20 (with DTR)	Matshushitaviridae sp. ctJH82I	19720	None	37	3	0	0	Tail fiber protein |Major Capsid protein|Large Terminase			-_Viruses;-_Singelaviria;k_Helvetiavirae;p_Dividoviricota;c_Laserviricetes;o_Halopanivirales;f_Matshushitaviridae	prodigal-gv	11	NaN
ct3_DRR290133_1b_161@C199	u2586890ctg_len-5939543_circular-yes_depth-92-81-71_mult-1.20 (with DTR)	Caudoviricetes sp. ctDKIXY	38077	None	62	11	0	0	tail sheath|Virion morphogenesis family|head to tail adaptor|major capsid subunit gpT|Large Terminase|Portal protein|Capsid decoration protein |minor capsid component|minor tail protein|baseplate assembly protein|Tail protein			-_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes	prodigal-gv	11	NaN
ct3_DRR290133_1b_162	u1143216ctg_len-30843_circular-yes_depth-189-48-8_mult-1.00 (with DTR)	Caudoviricetes sp. ctO52JF	30873	DTR	41	7	0	0	tail tape measure protein |Minor capsid protein|Minor capsid protein|Major Capsid Protein|Portal Protein|Large Terminase|Neck appendage protein			-_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes	prodigal-gv	11	NaN
ct3_DRR290133_1b_164	u398089ctg_len-27650_circular-yes_depth-201-26-12_mult-1.00 (with DTR)	Caudoviricetes sp. ctAIPOW	27680	DTR	38	6	2	0	minor tail protein|Head Tail Connector Protein|phage major capsid protein, HK97 family|tail component|Portal Protein|Large Terminase	DNA helicase|dsDNA helicase		-_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes	prodigal-gv	11	NaN
ct3_DRR290133_1b_165	u276399ctg_len-26636_circular-yes_depth-227-8-2_mult-1.00 (with DTR)	Caudoviricetes sp. ctDVW3S	26666	DTR	37	6	1	0	Large Terminase|minor tail protein|Head Tail Connector Protein|phage major capsid protein, HK97 family|tail component|Portal Protein	DNA helicase		-_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes	prodigal-gv	11	NaN
ct3_DRR290133_1b_166	u1689428ctg_len-939225_circular-yes_depth-94-89-34_mult-1.00 (with DTR)	unclassified virus sp. ctEEFQ0	939255	DTR	712	3	3	0	capsid assembly protein|Major Capsid Protein|type I neck protein	DNA helicase|Large T antigen|Superfamily 3 helicase		-_Viruses;-_unclassified virus	prodigal-gv	11	NaN
ct3_DRR290133_1b_167	u103845ctg_len-118760_circular-yes_depth-141-79-5_mult-1.76 (with DTR)	Caudoviricetes sp. ctV3R9E	118790	DTR	126	8	2	0	Major Capsid Protein|tail tape measure protein |tail tape measure protein |Major Capsid Protein|Large Terminase|Portal protein|Portal protein|Large Terminase	Helicase ATPase|Helicase ATPase		-_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes	prodigal-gv	11	NaN
ct3_DRR290133_1b_168	u1187394ctg_len-92236_circular-yes_depth-87-81-51_mult-1.00 (with DTR)	Caudoviricetes sp. ctXQB13	92266	DTR	104	5	2	0	Large Terminase|Portal Protein|Major Capsid Protein|Head Tail Connector Protein|Major capsid protein	DNAB Like Replicative Helicase|DNA polymerase II, small subunit		-_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes	prodigal-gv	11	NaN
ct3_DRR290133_1b_170	u2196579ctg_len-34744_circular-yes_depth-83-83-52_mult-1.00 (with DTR)	Caudoviricetes sp. ct2574Z	34774	DTR	58	12	2	0	Tail assembly chaperone|minor tail protein |tail tube protein|tail completion protein|tail component|Head tail adaptor|Head Tail Connector Protein|Major Capsid Protein|head maturation protease|Portal|Large Terminase|Small Terminase	DNAB Like Replicative Helicase|phage replisome organiser		-_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes	prodigal-gv	11	NaN
ct3_DRR290133_1b_171	u1107383ctg_len-31251_circular-yes_depth-158-26-20_mult-1.00 (with DTR)	Caudoviricetes sp. ct5S0G9	31281	DTR	43	8	0	0	virion protein|Neck appendage protein|tail tape measure protein |Minor capsid protein|Minor capsid protein|Major Capsid Protein|Portal Protein|Large Terminase			-_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes	prodigal-gv	11	NaN
ct3_DRR290133_1b_172	u519425ctg_len-27661_circular-yes_depth-177-26-9_mult-1.00 (with DTR)	Caudoviricetes sp. ctTLIGJ	27691	DTR	36	6	1	0	minor tail protein|Head Tail Connector Protein|phage major capsid protein, HK97 family|tail component|Portal Protein|Large Terminase	DNA helicase		-_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes	prodigal-gv	11	NaN
ct3_DRR290133_1b_173	u2040103ctg_len-25914_circular-yes_depth-188-12-8_mult-1.00 (with DTR)	Caudoviricetes sp. ct97F2X	25944	DTR	33	6	1	0	Large Terminase|Portal Protein|tail component|phage major capsid protein, HK97 family|Head Tail Connector Protein|minor tail protein	DNA helicase		-_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes	prodigal-gv	11	NaN
ct3_DRR290133_1b_174	u806287ctg_len-30618_circular-yes_depth-183-21-5_mult-1.00 (with DTR)	Caudoviricetes sp. ct2VOFA	30648	DTR	40	10	0	0	virion protein|Neck appendage protein|minor tail protein |tail tape measure protein |tail tube protein|Minor capsid protein|Minor capsid protein|Major Capsid Protein|Portal Protein|Large Terminase			-_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes	prodigal-gv	11	NaN
ct3_DRR290133_1b_175	u1106550ctg_len-26241_circular-yes_depth-197-6-4_mult-1.00 (with DTR)	Caudoviricetes sp. ct4G38Y	26271	DTR	38	5	1	0	Large Terminase|Portal Protein|tail component|phage major capsid protein, HK97 family|Head Tail Connector Protein	DNA helicase		-_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes	prodigal-gv	11	NaN
ct3_DRR290133_1b_176	u1755019ctg_len-26020_circular-yes_depth-127-47-34_mult-1.00 (with DTR)	Caudoviricetes sp. ctAQF0I	26050	DTR	36	6	1	0	minor tail protein|Head Tail Connector Protein|phage major capsid protein, HK97 family|tail component|Portal Protein|Large Terminase	DNA helicase		-_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes	prodigal-gv	11	NaN
ct3_DRR290133_1b_178@C1	u1717430ctg_len-2989622_circular-yes_depth-81-69-46_mult-1.00 (with DTR)	Matshushitaviridae sp. ctUQ3W2	25529	None	45	3	1	0	Tail fiber protein |Major Capsid protein|Large Terminase	Rep protein		-_Viruses;-_Singelaviria;k_Helvetiavirae;p_Dividoviricota;c_Laserviricetes;o_Halopanivirales;f_Matshushitaviridae	prodigal-gv	11	NaN
